province,city,city_code,level,index,pollutions,aqi,so2_24h,no2_24h,co_24h,o3_24h,o3_8h_24h,pm2_5_24h,pm10_24h,pubtime
河北省,保定市,130600,,,,224.0,20.0,26.0,1.46,67.0,96.0,176.0,210.0,2013-07-01 00:00:00
河北省,保定市,130600,,,,49.0,30.0,18.0,1.018,95.0,95.0,25.0,42.0,2013-07-02 00:00:00
河北省,保定市,130600,,,,96.0,71.0,41.0,1.165,193.0,148.0,54.0,116.0,2013-07-03 00:00:00
河北省,保定市,130600,,,,146.0,48.0,32.0,1.186,237.0,183.0,79.0,161.0,2013-07-04 00:00:00
河北省,保定市,130600,,,,103.0,36.0,34.0,1.161,252.0,205.0,33.0,77.0,2013-07-05 00:00:00
河北省,保定市,130600,,,,94.0,35.0,35.0,1.484,154.0,142.0,58.0,116.0,2013-07-06 00:00:00
河北省,保定市,130600,,,,99.0,23.0,23.0,1.326,157.0,141.0,67.0,108.0,2013-07-07 00:00:00
河北省,保定市,130600,,,,146.0,11.0,19.0,1.328,123.0,114.0,110.0,131.0,2013-07-08 00:00:00
河北省,保定市,130600,,,,99.0,10.0,18.0,0.763,106.0,102.0,60.0,106.0,2013-07-09 00:00:00
河北省,保定市,130600,,,,56.0,9.0,22.0,0.707,82.0,78.0,30.0,49.0,2013-07-10 00:00:00
河北省,保定市,130600,,,,70.0,10.0,29.0,0.876,127.0,105.0,39.0,74.0,2013-07-11 00:00:00
河北省,保定市,130600,,,,136.0,24.0,33.0,1.376,117.0,107.0,101.0,132.0,2013-07-12 00:00:00
河北省,保定市,130600,,,,183.0,32.0,34.0,1.988,155.0,144.0,140.0,174.0,2013-07-13 00:00:00
河北省,保定市,130600,,,,124.0,26.0,30.0,1.308,141.0,112.0,91.0,122.0,2013-07-14 00:00:00
河北省,保定市,130600,,,,121.0,14.0,24.0,1.357,188.0,87.0,86.0,123.0,2013-07-15 00:00:00
河北省,保定市,130600,,,,90.0,18.0,24.0,1.104,188.0,115.0,55.0,80.0,2013-07-16 00:00:00
河北省,保定市,130600,,,,85.0,29.0,33.0,0.906,170.0,132.0,47.0,104.0,2013-07-17 00:00:00
河北省,保定市,130600,,,,138.0,26.0,37.0,1.472,123.0,116.0,96.0,145.0,2013-07-18 00:00:00
河北省,保定市,130600,,,,122.0,31.0,27.0,1.507,147.0,135.0,87.0,118.0,2013-07-19 00:00:00
河北省,保定市,130600,,,,148.0,29.0,42.0,1.769,201.0,168.0,111.0,147.0,2013-07-20 00:00:00
河北省,保定市,130600,,,,79.0,33.0,45.0,1.723,144.0,129.0,54.0,88.0,2013-07-21 00:00:00
河北省,保定市,130600,,,,116.0,44.0,50.0,1.757,130.0,128.0,82.0,145.0,2013-07-22 00:00:00
河北省,保定市,130600,,,,58.0,14.0,18.0,0.924,141.0,123.0,31.0,56.0,2013-07-23 00:00:00
河北省,保定市,130600,,,,98.0,21.0,37.0,1.68,123.0,116.0,66.0,111.0,2013-07-24 00:00:00
河北省,保定市,130600,,,,120.0,22.0,44.0,1.731,122.0,110.0,78.0,149.0,2013-07-25 00:00:00
河北省,保定市,130600,,,,106.0,8.0,33.0,1.88,64.0,77.0,69.0,109.0,2013-07-26 00:00:00
河北省,保定市,130600,,,,150.0,15.0,37.0,2.166,72.0,61.0,112.0,146.0,2013-07-27 00:00:00
河北省,保定市,130600,,,,125.0,16.0,31.0,1.908,76.0,72.0,89.0,126.0,2013-07-28 00:00:00
河北省,保定市,130600,,,,150.0,14.0,44.0,2.247,52.0,58.0,113.0,163.0,2013-07-29 00:00:00
河北省,保定市,130600,,,,141.0,17.0,34.0,2.161,104.0,96.0,106.0,151.0,2013-07-30 00:00:00
河北省,保定市,130600,,,,123.0,13.0,22.0,2.005,109.0,95.0,85.0,123.0,2013-07-31 00:00:00
河北省,保定市,130600,,,,77.0,13.0,24.0,1.328,84.0,69.0,51.0,67.0,2013-08-01 00:00:00
