province,city,city_code,level,index,pollutions,aqi,so2_24h,no2_24h,co_24h,o3_24h,o3_8h_24h,pm2_5_24h,pm10_24h,pubtime
河北省,廊坊市,131000,,,,177,60,43,1.751,50,13,45,71,2013/2/1 0:00
河北省,廊坊市,131000,,,,55,87,58,1.725,50,50,56,90,2013/2/2 0:00
河北省,廊坊市,131000,,,,160,102,61,2.539,43,50,180,190,2013/2/3 0:00
河北省,廊坊市,131000,,,,199,57,38,1.412,57,43,70,106,2013/2/4 0:00
河北省,廊坊市,131000,,,,64,50,30,0.907,57,57,56,71,2013/2/5 0:00
河北省,廊坊市,131000,,,,142,54,33,1.435,61,57,100,169,2013/2/6 0:00
河北省,廊坊市,131000,,,,75,42,27,0.851,61,61,23,61,2013/2/7 0:00
河北省,廊坊市,131000,,,,74,64,34,1.299,49,61,71,83,2013/2/8 0:00
河北省,廊坊市,131000,,,,159,144,52,2.423,46,48,194,256,2013/2/9 0:00
河北省,廊坊市,131000,,,,331,90,40,1.804,55,46,225,225,2013/2/10 0:00
河北省,廊坊市,131000,,,,155,67,34,2.171,55,55,108,154,2013/2/11 0:00
河北省,廊坊市,131000,,,,140,59,30,1.905,60,55,124,187,2013/2/12 0:00
河北省,廊坊市,131000,,,,264,91,53,3.794,60,60,296,385,2013/2/13 0:00
河北省,廊坊市,131000,,,,329,81,48,3.168,57,60,194,285,2013/2/14 0:00
河北省,廊坊市,131000,,,,127,55,36,1.595,58,57,58,100,2013/2/15 0:00
河北省,廊坊市,131000,,,,119,103,54,2.778,58,58,161,233,2013/2/16 0:00
河北省,廊坊市,131000,,,,250,53,42,2.377,60,58,145,230,2013/2/17 0:00
河北省,廊坊市,131000,,,,86,40,31,0.955,60,60,33,68,2013/2/18 0:00
河北省,廊坊市,131000,,,,62,46,30,1.033,50,60,32,81,2013/2/19 0:00
河北省,廊坊市,131000,,,,94,76,56,2.494,49,50,100,159,2013/2/20 0:00
河北省,廊坊市,131000,,,,195,81,63,3.11,46,49,204,285,2013/2/21 0:00
河北省,廊坊市,131000,,,,242,52,51,1.973,58,46,108,162,2013/2/22 0:00
河北省,廊坊市,131000,,,,139,117,69,2.983,65,58,220,293,2013/2/23 0:00
河北省,廊坊市,131000,,,,322,122,75,3.977,65,65,248,344,2013/2/24 0:00
河北省,廊坊市,131000,,,,214,74,52,2.394,35,65,112,195,2013/2/25 0:00
河北省,廊坊市,131000,,,,194,97,69,3.469,46,35,221,334,2013/2/26 0:00
河北省,廊坊市,131000,,,,327,68,74,3.807,64,46,274,375,2013/2/27 0:00
河北省,廊坊市,131000,,,,421,46,46,2.484,64,64,267,579,2013/2/28 0:00
河北省,廊坊市,131000,,,,177,25,30,0.777,62,64,32,53,2013/3/1 0:00
