province,city,city_code,level,index,pollutions,aqi,so2_24h,no2_24h,co_24h,o3_24h,o3_8h_24h,pm2_5_24h,pm10_24h,pubtime
河北省,保定市,130600,,,,100.0,40.0,35.0,1.384,98.0,92.0,50.0,145.0,2013-05-01 00:00:00
河北省,保定市,130600,,,,119.0,82.0,43.0,2.109,99.0,90.0,79.0,174.0,2013-05-02 00:00:00
河北省,保定市,130600,,,,122.0,56.0,36.0,2.73,96.0,98.0,81.0,165.0,2013-05-03 00:00:00
河北省,保定市,130600,,,,122.0,49.0,41.0,2.207,85.0,87.0,79.0,159.0,2013-05-04 00:00:00
河北省,保定市,130600,,,,238.0,84.0,59.0,3.074,77.0,82.0,167.0,318.0,2013-05-05 00:00:00
河北省,保定市,130600,,,,185.0,78.0,45.0,2.488,85.0,83.0,138.0,239.0,2013-05-06 00:00:00
河北省,保定市,130600,,,,185.0,68.0,52.0,2.205,130.0,106.0,134.0,250.0,2013-05-07 00:00:00
河北省,保定市,130600,,,,179.0,63.0,57.0,2.156,56.0,79.0,129.0,226.0,2013-05-08 00:00:00
河北省,保定市,130600,,,,108.0,40.0,34.0,1.593,103.0,76.0,72.0,131.0,2013-05-09 00:00:00
河北省,保定市,130600,,,,126.0,35.0,35.0,1.61,77.0,74.0,73.0,166.0,2013-05-10 00:00:00
河北省,保定市,130600,,,,131.0,50.0,40.0,1.662,69.0,70.0,55.0,201.0,2013-05-11 00:00:00
河北省,保定市,130600,,,,105.0,39.0,40.0,1.723,83.0,74.0,41.0,159.0,2013-05-12 00:00:00
河北省,保定市,130600,,,,131.0,62.0,66.0,3.26,69.0,62.0,81.0,206.0,2013-05-13 00:00:00
河北省,保定市,130600,,,,159.0,51.0,60.0,4.44,58.0,61.0,85.0,231.0,2013-05-14 00:00:00
河北省,保定市,130600,,,,136.0,36.0,52.0,4.45,51.0,48.0,66.0,209.0,2013-05-15 00:00:00
河北省,保定市,130600,,,,99.0,33.0,39.0,4.044,54.0,51.0,58.0,139.0,2013-05-16 00:00:00
河北省,保定市,130600,,,,121.0,35.0,41.0,3.538,98.0,90.0,87.0,164.0,2013-05-17 00:00:00
河北省,保定市,130600,,,,124.0,23.0,32.0,2.854,85.0,82.0,88.0,148.0,2013-05-18 00:00:00
河北省,保定市,130600,,,,183.0,26.0,28.0,2.23,75.0,67.0,66.0,276.0,2013-05-19 00:00:00
河北省,保定市,130600,,,,129.0,35.0,33.0,2.319,82.0,75.0,47.0,204.0,2013-05-20 00:00:00
河北省,保定市,130600,,,,183.0,50.0,49.0,3.197,99.0,76.0,109.0,281.0,2013-05-21 00:00:00
河北省,保定市,130600,,,,121.0,30.0,35.0,2.707,119.0,96.0,61.0,191.0,2013-05-22 00:00:00
河北省,保定市,130600,,,,113.0,36.0,46.0,1.832,148.0,138.0,68.0,168.0,2013-05-23 00:00:00
河北省,保定市,130600,,,,208.0,31.0,48.0,1.326,125.0,100.0,126.0,299.0,2013-05-24 00:00:00
河北省,保定市,130600,,,,115.0,36.0,32.0,1.436,133.0,121.0,74.0,158.0,2013-05-25 00:00:00
河北省,保定市,130600,,,,161.0,28.0,33.0,2.172,48.0,80.0,123.0,160.0,2013-05-26 00:00:00
河北省,保定市,130600,,,,94.0,18.0,20.0,1.351,88.0,85.0,54.0,102.0,2013-05-27 00:00:00
河北省,保定市,130600,,,,106.0,16.0,37.0,1.44,39.0,48.0,65.0,123.0,2013-05-28 00:00:00
河北省,保定市,130600,,,,75.0,17.0,30.0,0.781,84.0,83.0,29.0,94.0,2013-05-29 00:00:00
河北省,保定市,130600,,,,119.0,44.0,45.0,1.073,113.0,102.0,67.0,183.0,2013-05-30 00:00:00
河北省,保定市,130600,,,,110.0,36.0,36.0,0.843,99.0,93.0,77.0,146.0,2013-05-31 00:00:00
河北省,保定市,130600,,,,146.0,23.0,38.0,0.824,145.0,122.0,99.0,177.0,2013-06-01 00:00:00
