province,city,city_code,level,index,pollutions,aqi,so2_24h,no2_24h,co_24h,o3_24h,o3_8h_24h,pm2_5_24h,pm10_24h,pubtime
河北省,保定市,130600,,,,209.0,23.0,64.0,1.989,90.0,88.0,170.0,239.0,2013-10-01 00:00:00
河北省,保定市,130600,,,,90.0,17.0,50.0,1.244,91.0,78.0,62.0,104.0,2013-10-02 00:00:00
河北省,保定市,130600,,,,186.0,25.0,69.0,1.742,102.0,87.0,141.0,223.0,2013-10-03 00:00:00
河北省,保定市,130600,,,,313.0,26.0,86.0,3.289,186.0,142.0,273.0,409.0,2013-10-04 00:00:00
河北省,保定市,130600,,,,371.0,25.0,96.0,3.082,201.0,143.0,319.0,462.0,2013-10-05 00:00:00
河北省,保定市,130600,,,,259.0,17.0,70.0,2.6,145.0,127.0,213.0,306.0,2013-10-06 00:00:00
河北省,保定市,130600,,,,172.0,13.0,69.0,2.27,118.0,104.0,128.0,203.0,2013-10-07 00:00:00
河北省,保定市,130600,,,,137.0,17.0,52.0,1.921,111.0,97.0,99.0,169.0,2013-10-08 00:00:00
河北省,保定市,130600,,,,244.0,33.0,66.0,2.346,125.0,102.0,192.0,290.0,2013-10-09 00:00:00
河北省,保定市,130600,,,,237.0,34.0,69.0,2.347,82.0,74.0,176.0,294.0,2013-10-10 00:00:00
河北省,保定市,130600,,,,145.0,56.0,57.0,1.852,120.0,90.0,101.0,208.0,2013-10-11 00:00:00
河北省,保定市,130600,,,,144.0,37.0,68.0,1.754,78.0,68.0,100.0,214.0,2013-10-12 00:00:00
河北省,保定市,130600,,,,85.0,16.0,32.0,1.643,59.0,50.0,57.0,105.0,2013-10-13 00:00:00
河北省,保定市,130600,,,,83.0,12.0,38.0,1.832,30.0,26.0,56.0,92.0,2013-10-14 00:00:00
河北省,保定市,130600,,,,69.0,17.0,40.0,3.585,73.0,56.0,33.0,77.0,2013-10-15 00:00:00
河北省,保定市,130600,,,,163.0,52.0,67.0,5.332,58.0,43.0,124.0,215.0,2013-10-16 00:00:00
河北省,保定市,130600,,,,238.0,60.0,89.0,4.524,59.0,41.0,185.0,310.0,2013-10-17 00:00:00
河北省,保定市,130600,,,,370.0,59.0,114.0,3.76,77.0,47.0,293.0,465.0,2013-10-18 00:00:00
河北省,保定市,130600,,,,245.0,40.0,79.0,2.775,43.0,33.0,182.0,327.0,2013-10-19 00:00:00
河北省,保定市,130600,,,,106.0,24.0,54.0,1.896,60.0,51.0,66.0,156.0,2013-10-20 00:00:00
河北省,保定市,130600,,,,154.0,48.0,67.0,2.55,79.0,66.0,114.0,218.0,2013-10-21 00:00:00
河北省,保定市,130600,,,,217.0,62.0,74.0,3.12,78.0,49.0,168.0,297.0,2013-10-22 00:00:00
河北省,保定市,130600,,,,141.0,22.0,57.0,2.203,70.0,61.0,86.0,197.0,2013-10-23 00:00:00
河北省,保定市,130600,,,,100.0,41.0,46.0,1.749,51.0,44.0,53.0,144.0,2013-10-24 00:00:00
河北省,保定市,130600,,,,118.0,23.0,64.0,2.137,101.0,75.0,76.0,173.0,2013-10-25 00:00:00
河北省,保定市,130600,,,,184.0,60.0,95.0,3.297,62.0,42.0,136.0,260.0,2013-10-26 00:00:00
河北省,保定市,130600,,,,294.0,58.0,112.0,4.095,30.0,27.0,232.0,380.0,2013-10-27 00:00:00
河北省,保定市,130600,,,,356.0,58.0,111.0,4.083,58.0,45.0,280.0,454.0,2013-10-28 00:00:00
河北省,保定市,130600,,,,204.0,37.0,86.0,3.782,57.0,51.0,155.0,264.0,2013-10-29 00:00:00
河北省,保定市,130600,,,,199.0,38.0,70.0,2.244,78.0,52.0,152.0,269.0,2013-10-30 00:00:00
河北省,保定市,130600,,,,255.0,35.0,101.0,2.126,23.0,18.0,196.0,341.0,2013-10-31 00:00:00
河北省,保定市,130600,,,,267.0,39.0,91.0,3.073,19.0,19.0,215.0,338.0,2013-11-01 00:00:00
