province,city,city_code,level,index,pollutions,aqi,so2_24h,no2_24h,co_24h,o3_24h,o3_8h_24h,pm2_5_24h,pm10_24h,pubtime
河北省,张家口市,131200,,,,35.0,11.0,21.0,0.252,33.0,32.0,18.0,28.0,2013-06-01 00:00:00
河北省,张家口市,131200,,,,69.0,16.0,25.0,0.564,56.0,42.0,27.0,79.0,2013-06-02 00:00:00
河北省,张家口市,131200,,,,93.0,20.0,24.0,0.472,228.0,49.0,35.0,127.0,2013-06-03 00:00:00
河北省,张家口市,131200,,,,139.0,25.0,26.0,0.919,209.0,204.0,89.0,194.0,2013-06-04 00:00:00
河北省,张家口市,131200,,,,97.0,20.0,27.0,1.279,55.0,172.0,45.0,142.0,2013-06-05 00:00:00
河北省,张家口市,131200,,,,148.0,24.0,32.0,1.717,40.0,44.0,134.0,153.0,2013-06-06 00:00:00
河北省,张家口市,131200,,,,118.0,20.0,30.0,2.27,45.0,32.0,153.0,75.0,2013-06-07 00:00:00
河北省,张家口市,131200,,,,77.0,19.0,21.0,1.173,75.0,39.0,52.0,92.0,2013-06-08 00:00:00
河北省,张家口市,131200,,,,43.0,19.0,24.0,0.709,72.0,69.0,16.0,47.0,2013-06-09 00:00:00
河北省,张家口市,131200,,,,45.0,21.0,23.0,0.468,92.0,60.0,16.0,46.0,2013-06-10 00:00:00
河北省,张家口市,131200,,,,39.0,19.0,20.0,0.39,86.0,84.0,13.0,38.0,2013-06-11 00:00:00
河北省,张家口市,131200,,,,67.0,22.0,22.0,0.556,177.0,83.0,27.0,84.0,2013-06-12 00:00:00
河北省,张家口市,131200,,,,123.0,29.0,25.0,0.789,208.0,173.0,63.0,185.0,2013-06-13 00:00:00
河北省,张家口市,131200,,,,119.0,27.0,24.0,0.65,251.0,197.0,57.0,178.0,2013-06-14 00:00:00
河北省,张家口市,131200,,,,140.0,27.0,26.0,0.888,268.0,244.0,88.0,208.0,2013-06-15 00:00:00
河北省,张家口市,131200,,,,169.0,25.0,30.0,1.144,258.0,256.0,120.0,202.0,2013-06-16 00:00:00
河北省,张家口市,131200,,,,44.0,22.0,25.0,0.619,153.0,221.0,12.0,41.0,2013-06-17 00:00:00
河北省,张家口市,131200,,,,44.0,19.0,23.0,0.408,93.0,135.0,15.0,45.0,2013-06-18 00:00:00
河北省,张家口市,131200,,,,32.0,13.0,17.0,0.285,76.0,66.0,9.0,28.0,2013-06-19 00:00:00
河北省,张家口市,131200,,,,39.0,15.0,25.0,0.332,66.0,72.0,14.0,41.0,2013-06-20 00:00:00
河北省,张家口市,131200,,,,45.0,12.0,24.0,0.44,98.0,55.0,14.0,42.0,2013-06-21 00:00:00
河北省,张家口市,131200,,,,57.0,13.0,32.0,0.738,101.0,102.0,28.0,49.0,2013-06-22 00:00:00
河北省,张家口市,131200,,,,48.0,13.0,24.0,0.605,94.0,81.0,17.0,51.0,2013-06-23 00:00:00
河北省,张家口市,131200,,,,49.0,15.0,28.0,0.727,103.0,88.0,23.0,52.0,2013-06-24 00:00:00
河北省,张家口市,131200,,,,65.0,15.0,31.0,0.849,95.0,88.0,33.0,77.0,2013-06-25 00:00:00
河北省,张家口市,131200,,,,63.0,13.0,26.0,0.607,116.0,82.0,21.0,73.0,2013-06-26 00:00:00
河北省,张家口市,131200,,,,63.0,13.0,22.0,0.477,158.0,102.0,14.0,73.0,2013-06-27 00:00:00
河北省,张家口市,131200,,,,93.0,14.0,26.0,0.702,174.0,140.0,52.0,116.0,2013-06-28 00:00:00
河北省,张家口市,131200,,,,84.0,16.0,26.0,0.708,149.0,151.0,44.0,103.0,2013-06-29 00:00:00
河北省,张家口市,131200,,,,127.0,15.0,27.0,1.046,137.0,135.0,90.0,138.0,2013-06-30 00:00:00
河北省,张家口市,131200,,,,82.0,11.0,28.0,1.064,102.0,116.0,55.0,79.0,2013-07-01 00:00:00
