province,city,city_code,level,index,pollutions,aqi,so2_24h,no2_24h,co_24h,o3_24h,o3_8h_24h,pm2_5_24h,pm10_24h,pubtime
河北省,张家口市,131200,,,,66.0,71.0,34.0,0.977,60.0,85.0,37.0,78.0,2013-12-01 00:00:00
河北省,张家口市,131200,,,,101.0,100.0,54.0,1.438,42.0,68.0,67.0,144.0,2013-12-02 00:00:00
河北省,张家口市,131200,,,,79.0,74.0,47.0,1.075,72.0,50.0,44.0,116.0,2013-12-03 00:00:00
河北省,张家口市,131200,,,,100.0,128.0,56.0,1.291,45.0,57.0,57.0,141.0,2013-12-04 00:00:00
河北省,张家口市,131200,,,,62.0,77.0,36.0,0.744,62.0,42.0,31.0,76.0,2013-12-05 00:00:00
河北省,张家口市,131200,,,,87.0,87.0,47.0,1.117,53.0,53.0,50.0,119.0,2013-12-06 00:00:00
河北省,张家口市,131200,,,,110.0,134.0,62.0,1.391,40.0,45.0,70.0,158.0,2013-12-07 00:00:00
河北省,张家口市,131200,,,,70.0,61.0,24.0,0.624,63.0,33.0,30.0,89.0,2013-12-08 00:00:00
河北省,张家口市,131200,,,,40.0,58.0,21.0,0.469,80.0,71.0,16.0,40.0,2013-12-09 00:00:00
河北省,张家口市,131200,,,,98.0,48.0,18.0,0.429,79.0,75.0,20.0,129.0,2013-12-10 00:00:00
河北省,张家口市,131200,,,,56.0,97.0,35.0,0.786,83.0,72.0,28.0,60.0,2013-12-11 00:00:00
河北省,张家口市,131200,,,,44.0,51.0,22.0,0.498,82.0,66.0,20.0,46.0,2013-12-12 00:00:00
河北省,张家口市,131200,,,,69.0,95.0,38.0,0.842,68.0,70.0,29.0,85.0,2013-12-13 00:00:00
河北省,张家口市,131200,,,,66.0,78.0,31.0,0.722,71.0,67.0,29.0,82.0,2013-12-14 00:00:00
河北省,张家口市,131200,,,,77.0,98.0,38.0,0.939,65.0,65.0,37.0,102.0,2013-12-15 00:00:00
河北省,张家口市,131200,,,,85.0,104.0,41.0,1.044,75.0,49.0,50.0,117.0,2013-12-16 00:00:00
河北省,张家口市,131200,,,,47.0,62.0,17.0,0.499,77.0,74.0,20.0,48.0,2013-12-17 00:00:00
河北省,张家口市,131200,,,,52.0,95.0,27.0,0.685,76.0,70.0,22.0,58.0,2013-12-18 00:00:00
河北省,张家口市,131200,,,,49.0,92.0,27.0,0.673,74.0,65.0,23.0,52.0,2013-12-19 00:00:00
河北省,张家口市,131200,,,,52.0,89.0,26.0,0.711,70.0,70.0,25.0,56.0,2013-12-20 00:00:00
河北省,张家口市,131200,,,,63.0,101.0,36.0,0.884,70.0,66.0,31.0,74.0,2013-12-21 00:00:00
河北省,张家口市,131200,,,,82.0,107.0,44.0,1.138,57.0,57.0,46.0,108.0,2013-12-22 00:00:00
河北省,张家口市,131200,,,,88.0,75.0,31.0,0.914,62.0,62.0,49.0,118.0,2013-12-23 00:00:00
河北省,张家口市,131200,,,,122.0,143.0,55.0,1.399,104.0,45.0,82.0,163.0,2013-12-24 00:00:00
河北省,张家口市,131200,,,,133.0,85.0,30.0,1.051,63.0,39.0,55.0,181.0,2013-12-25 00:00:00
河北省,张家口市,131200,,,,49.0,81.0,24.0,0.578,63.0,56.0,19.0,53.0,2013-12-26 00:00:00
河北省,张家口市,131200,,,,66.0,92.0,33.0,0.919,52.0,56.0,32.0,81.0,2013-12-27 00:00:00
河北省,张家口市,131200,,,,50.0,76.0,24.0,0.646,71.0,50.0,21.0,54.0,2013-12-28 00:00:00
河北省,张家口市,131200,,,,88.0,112.0,40.0,1.193,53.0,63.0,44.0,120.0,2013-12-29 00:00:00
河北省,张家口市,131200,,,,111.0,73.0,26.0,0.931,68.0,52.0,42.0,172.0,2013-12-30 00:00:00
河北省,张家口市,131200,,,,145.0,55.0,18.0,0.689,71.0,58.0,36.0,242.0,2013-12-31 00:00:00
河北省,张家口市,131200,,,,107.0,98.0,32.0,1.038,67.0,76.0,42.0,163.0,2014-01-01 00:00:00
