province,city,city_code,level,index,pollutions,aqi,so2_24h,no2_24h,co_24h,o3_24h,o3_8h_24h,pm2_5_24h,pm10_24h,pubtime
河北省,张家口市,131200,,,,178.0,148.0,91.0,2.147,47.0,30.0,125.0,272.0,2013-11-01 00:00:00
河北省,张家口市,131200,,,,164.0,74.0,66.0,1.631,65.0,27.0,119.0,233.0,2013-11-02 00:00:00
河北省,张家口市,131200,,,,46.0,47.0,28.0,0.472,67.0,53.0,20.0,48.0,2013-11-03 00:00:00
河北省,张家口市,131200,,,,75.0,70.0,44.0,0.858,59.0,60.0,38.0,100.0,2013-11-04 00:00:00
河北省,张家口市,131200,,,,101.0,90.0,55.0,1.206,65.0,45.0,59.0,149.0,2013-11-05 00:00:00
河北省,张家口市,131200,,,,103.0,43.0,27.0,0.61,64.0,47.0,33.0,152.0,2013-11-06 00:00:00
河北省,张家口市,131200,,,,80.0,66.0,39.0,0.919,46.0,59.0,38.0,112.0,2013-11-07 00:00:00
河北省,张家口市,131200,,,,147.0,72.0,59.0,1.616,29.0,38.0,103.0,143.0,2013-11-08 00:00:00
河北省,张家口市,131200,,,,79.0,47.0,23.0,0.675,70.0,25.0,38.0,117.0,2013-11-09 00:00:00
河北省,张家口市,131200,,,,44.0,33.0,16.0,0.381,72.0,58.0,15.0,51.0,2013-11-10 00:00:00
河北省,张家口市,131200,,,,60.0,44.0,39.0,0.755,51.0,64.0,25.0,73.0,2013-11-11 00:00:00
河北省,张家口市,131200,,,,72.0,36.0,43.0,0.896,60.0,44.0,37.0,93.0,2013-11-12 00:00:00
河北省,张家口市,131200,,,,99.0,41.0,54.0,1.024,55.0,51.0,55.0,144.0,2013-11-13 00:00:00
河北省,张家口市,131200,,,,89.0,27.0,20.0,0.587,69.0,52.0,30.0,128.0,2013-11-14 00:00:00
河北省,张家口市,131200,,,,158.0,37.0,45.0,0.953,59.0,61.0,68.0,263.0,2013-11-15 00:00:00
河北省,张家口市,131200,,,,70.0,36.0,13.0,0.371,53.0,50.0,27.0,94.0,2013-11-16 00:00:00
河北省,张家口市,131200,,,,44.0,34.0,12.0,0.431,54.0,48.0,17.0,50.0,2013-11-17 00:00:00
河北省,张家口市,131200,,,,45.0,54.0,26.0,0.482,53.0,51.0,19.0,48.0,2013-11-18 00:00:00
河北省,张家口市,131200,,,,54.0,67.0,41.0,0.678,50.0,46.0,27.0,61.0,2013-11-19 00:00:00
河北省,张家口市,131200,,,,65.0,72.0,42.0,0.628,52.0,42.0,29.0,82.0,2013-11-20 00:00:00
河北省,张家口市,131200,,,,70.0,70.0,44.0,0.693,52.0,47.0,35.0,86.0,2013-11-21 00:00:00
河北省,张家口市,131200,,,,99.0,102.0,65.0,1.134,44.0,40.0,60.0,132.0,2013-11-22 00:00:00
河北省,张家口市,131200,,,,102.0,103.0,63.0,1.044,51.0,35.0,54.0,149.0,2013-11-23 00:00:00
河北省,张家口市,131200,,,,148.0,64.0,35.0,0.557,54.0,40.0,47.0,210.0,2013-11-24 00:00:00
河北省,张家口市,131200,,,,49.0,67.0,31.0,0.558,55.0,45.0,25.0,55.0,2013-11-25 00:00:00
河北省,张家口市,131200,,,,65.0,64.0,23.0,0.481,63.0,48.0,26.0,88.0,2013-11-26 00:00:00
河北省,张家口市,131200,,,,68.0,0.0,4.0,0.345,43.0,48.0,15.0,91.0,2013-11-27 00:00:00
河北省,张家口市,131200,,,,49.0,81.0,9.0,0.729,54.0,47.0,23.0,55.0,2013-11-28 00:00:00
河北省,张家口市,131200,,,,62.0,90.0,37.0,1.14,58.0,59.0,36.0,71.0,2013-11-29 00:00:00
河北省,张家口市,131200,,,,70.0,71.0,27.0,0.957,67.0,46.0,40.0,87.0,2013-11-30 00:00:00
河北省,张家口市,131200,,,,66.0,71.0,34.0,0.977,60.0,85.0,37.0,78.0,2013-12-01 00:00:00
