province,city,city_code,level,index,pollutions,aqi,so2_24h,no2_24h,co_24h,o3_24h,o3_8h_24h,pm2_5_24h,pm10_24h,pubtime
河北省,张家口市,131200,,,,63.0,38.0,17.0,0.482,39.0,54.0,41.0,52.0,2013-10-01 00:00:00
河北省,张家口市,131200,,,,50.0,36.0,22.0,0.447,48.0,38.0,17.0,50.0,2013-10-02 00:00:00
河北省,张家口市,131200,,,,66.0,39.0,33.0,0.648,41.0,42.0,17.0,83.0,2013-10-03 00:00:00
河北省,张家口市,131200,,,,115.0,42.0,47.0,1.226,63.0,37.0,48.0,178.0,2013-10-04 00:00:00
河北省,张家口市,131200,,,,168.0,39.0,36.0,1.332,109.0,49.0,106.0,245.0,2013-10-05 00:00:00
河北省,张家口市,131200,,,,170.0,39.0,37.0,1.162,105.0,103.0,117.0,268.0,2013-10-06 00:00:00
河北省,张家口市,131200,,,,61.0,35.0,19.0,0.462,51.0,100.0,26.0,84.0,2013-10-07 00:00:00
河北省,张家口市,131200,,,,59.0,36.0,29.0,0.781,41.0,47.0,26.0,76.0,2013-10-08 00:00:00
河北省,张家口市,131200,,,,87.0,28.0,38.0,1.075,45.0,27.0,47.0,121.0,2013-10-09 00:00:00
河北省,张家口市,131200,,,,75.0,20.0,34.0,0.872,42.0,37.0,43.0,98.0,2013-10-10 00:00:00
河北省,张家口市,131200,,,,48.0,18.0,28.0,0.494,42.0,38.0,17.0,49.0,2013-10-11 00:00:00
河北省,张家口市,131200,,,,55.0,30.0,28.0,0.615,64.0,33.0,17.0,63.0,2013-10-12 00:00:00
河北省,张家口市,131200,,,,89.0,33.0,34.0,1.182,59.0,58.0,46.0,123.0,2013-10-13 00:00:00
河北省,张家口市,131200,,,,38.0,36.0,13.0,0.276,51.0,48.0,15.0,36.0,2013-10-14 00:00:00
河北省,张家口市,131200,,,,50.0,26.0,23.0,0.414,49.0,43.0,12.0,59.0,2013-10-15 00:00:00
河北省,张家口市,131200,,,,63.0,38.0,45.0,2.85,61.0,41.0,24.0,78.0,2013-10-16 00:00:00
河北省,张家口市,131200,,,,85.0,70.0,53.0,3.413,51.0,40.0,40.0,110.0,2013-10-17 00:00:00
河北省,张家口市,131200,,,,125.0,63.0,69.0,1.552,59.0,30.0,74.0,193.0,2013-10-18 00:00:00
河北省,张家口市,131200,,,,39.0,23.0,23.0,0.375,50.0,41.0,15.0,38.0,2013-10-19 00:00:00
河北省,张家口市,131200,,,,49.0,30.0,35.0,0.653,53.0,44.0,19.0,54.0,2013-10-20 00:00:00
河北省,张家口市,131200,,,,67.0,48.0,44.0,0.745,45.0,46.0,29.0,82.0,2013-10-21 00:00:00
河北省,张家口市,131200,,,,110.0,43.0,42.0,0.863,55.0,38.0,44.0,162.0,2013-10-22 00:00:00
河北省,张家口市,131200,,,,67.0,29.0,24.0,0.542,47.0,48.0,20.0,88.0,2013-10-23 00:00:00
河北省,张家口市,131200,,,,49.0,21.0,21.0,0.539,60.0,47.0,18.0,50.0,2013-10-24 00:00:00
河北省,张家口市,131200,,,,60.0,27.0,32.0,0.681,60.0,55.0,29.0,68.0,2013-10-25 00:00:00
河北省,张家口市,131200,,,,75.0,48.0,48.0,1.021,53.0,51.0,40.0,93.0,2013-10-26 00:00:00
河北省,张家口市,131200,,,,104.0,85.0,68.0,1.704,51.0,44.0,56.0,153.0,2013-10-27 00:00:00
河北省,张家口市,131200,,,,74.0,37.0,36.0,0.965,51.0,34.0,36.0,98.0,2013-10-28 00:00:00
河北省,张家口市,131200,,,,42.0,32.0,28.0,0.727,53.0,43.0,22.0,44.0,2013-10-29 00:00:00
河北省,张家口市,131200,,,,83.0,54.0,43.0,0.954,66.0,44.0,38.0,118.0,2013-10-30 00:00:00
河北省,张家口市,131200,,,,140.0,133.0,67.0,1.516,37.0,45.0,79.0,240.0,2013-10-31 00:00:00
河北省,张家口市,131200,,,,178.0,148.0,91.0,2.147,47.0,30.0,125.0,272.0,2013-11-01 00:00:00
