province,city,city_code,level,index,pollutions,aqi,so2_24h,no2_24h,co_24h,o3_24h,o3_8h_24h,pm2_5_24h,pm10_24h,pubtime
河北省,张家口市,131200,,,,82.0,11.0,28.0,1.064,102.0,116.0,55.0,79.0,2013-07-01 00:00:00
河北省,张家口市,131200,,,,33.0,17.0,17.0,0.41,98.0,88.0,10.0,27.0,2013-07-02 00:00:00
河北省,张家口市,131200,,,,41.0,20.0,19.0,0.382,75.0,80.0,15.0,40.0,2013-07-03 00:00:00
河北省,张家口市,131200,,,,44.0,22.0,21.0,0.385,90.0,70.0,14.0,48.0,2013-07-04 00:00:00
河北省,张家口市,131200,,,,34.0,23.0,17.0,0.381,77.0,77.0,13.0,32.0,2013-07-05 00:00:00
河北省,张家口市,131200,,,,53.0,24.0,18.0,0.542,127.0,74.0,23.0,59.0,2013-07-06 00:00:00
河北省,张家口市,131200,,,,64.0,23.0,19.0,0.59,119.0,118.0,40.0,66.0,2013-07-07 00:00:00
河北省,张家口市,131200,,,,52.0,26.0,20.0,0.534,117.0,108.0,29.0,51.0,2013-07-08 00:00:00
河北省,张家口市,131200,,,,57.0,28.0,25.0,0.816,74.0,106.0,37.0,62.0,2013-07-09 00:00:00
河北省,张家口市,131200,,,,58.0,26.0,26.0,1.18,56.0,62.0,35.0,58.0,2013-07-10 00:00:00
河北省,张家口市,131200,,,,52.0,25.0,19.0,0.473,92.0,51.0,30.0,51.0,2013-07-11 00:00:00
河北省,张家口市,131200,,,,57.0,24.0,20.0,0.526,100.0,80.0,26.0,64.0,2013-07-12 00:00:00
河北省,张家口市,131200,,,,89.0,26.0,21.0,0.652,128.0,92.0,38.0,116.0,2013-07-13 00:00:00
河北省,张家口市,131200,,,,75.0,22.0,17.0,0.809,123.0,114.0,37.0,97.0,2013-07-14 00:00:00
河北省,张家口市,131200,,,,37.0,26.0,17.0,0.793,87.0,112.0,21.0,33.0,2013-07-15 00:00:00
河北省,张家口市,131200,,,,31.0,15.0,15.0,0.281,70.0,71.0,11.0,26.0,2013-07-16 00:00:00
河北省,张家口市,131200,,,,44.0,18.0,16.0,0.381,124.0,65.0,18.0,38.0,2013-07-17 00:00:00
河北省,张家口市,131200,,,,87.0,23.0,18.0,0.695,134.0,119.0,63.0,98.0,2013-07-18 00:00:00
河北省,张家口市,131200,,,,63.0,20.0,16.0,0.503,92.0,118.0,38.0,52.0,2013-07-19 00:00:00
河北省,张家口市,131200,,,,49.0,24.0,19.0,0.507,117.0,90.0,23.0,52.0,2013-07-20 00:00:00
河北省,张家口市,131200,,,,72.0,20.0,16.0,0.577,128.0,101.0,49.0,77.0,2013-07-21 00:00:00
河北省,张家口市,131200,,,,93.0,19.0,18.0,0.679,107.0,120.0,67.0,96.0,2013-07-22 00:00:00
河北省,张家口市,131200,,,,60.0,21.0,25.0,0.524,133.0,100.0,33.0,74.0,2013-07-23 00:00:00
河北省,张家口市,131200,,,,39.0,20.0,16.0,0.359,115.0,113.0,13.0,35.0,2013-07-24 00:00:00
河北省,张家口市,131200,,,,45.0,34.0,22.0,0.461,141.0,112.0,15.0,43.0,2013-07-25 00:00:00
河北省,张家口市,131200,,,,68.0,34.0,25.0,0.753,124.0,123.0,44.0,74.0,2013-07-26 00:00:00
河北省,张家口市,131200,,,,85.0,37.0,24.0,0.809,91.0,110.0,56.0,83.0,2013-07-27 00:00:00
河北省,张家口市,131200,,,,40.0,26.0,19.0,0.418,132.0,78.0,15.0,33.0,2013-07-28 00:00:00
河北省,张家口市,131200,,,,53.0,32.0,30.0,0.511,120.0,120.0,26.0,54.0,2013-07-29 00:00:00
河北省,张家口市,131200,,,,57.0,29.0,21.0,0.466,170.0,109.0,23.0,57.0,2013-07-30 00:00:00
河北省,张家口市,131200,,,,50.0,32.0,24.0,0.516,162.0,148.0,21.0,51.0,2013-07-31 00:00:00
河北省,张家口市,131200,,,,48.0,34.0,25.0,0.632,139.0,143.0,27.0,49.0,2013-08-01 00:00:00
