province,city,city_code,level,index,pollutions,aqi,so2_24h,no2_24h,co_24h,o3_24h,o3_8h_24h,pm2_5_24h,pm10_24h,pubtime
河北省,廊坊市,131000,,,,101.0,9.0,48.0,1.129,57.0,48.0,72.0,126.0,2013-10-01 00:00:00
河北省,廊坊市,131000,,,,49.0,7.0,33.0,0.444,71.0,47.0,22.0,55.0,2013-10-02 00:00:00
河北省,廊坊市,131000,,,,121.0,16.0,48.0,1.187,127.0,61.0,87.0,165.0,2013-10-03 00:00:00
河北省,廊坊市,131000,,,,250.0,18.0,67.0,2.196,136.0,71.0,203.0,341.0,2013-10-04 00:00:00
河北省,廊坊市,131000,,,,274.0,31.0,63.0,1.672,150.0,82.0,222.0,354.0,2013-10-05 00:00:00
河北省,廊坊市,131000,,,,168.0,20.0,54.0,1.554,96.0,111.0,129.0,208.0,2013-10-06 00:00:00
河北省,廊坊市,131000,,,,131.0,13.0,44.0,0.996,74.0,64.0,88.0,169.0,2013-10-07 00:00:00
河北省,廊坊市,131000,,,,83.0,26.0,38.0,0.981,93.0,61.0,45.0,116.0,2013-10-08 00:00:00
河北省,廊坊市,131000,,,,107.0,25.0,45.0,1.23,146.0,72.0,73.0,160.0,2013-10-09 00:00:00
河北省,廊坊市,131000,,,,137.0,20.0,53.0,1.202,59.0,76.0,91.0,200.0,2013-10-10 00:00:00
河北省,廊坊市,131000,,,,96.0,15.0,52.0,0.744,95.0,56.0,54.0,138.0,2013-10-11 00:00:00
河北省,廊坊市,131000,,,,123.0,32.0,61.0,1.255,88.0,73.0,86.0,191.0,2013-10-12 00:00:00
河北省,廊坊市,131000,,,,57.0,9.0,29.0,0.727,63.0,64.0,36.0,65.0,2013-10-13 00:00:00
河北省,廊坊市,131000,,,,72.0,6.0,34.0,0.712,27.0,51.0,39.0,82.0,2013-10-14 00:00:00
河北省,廊坊市,131000,,,,53.0,7.0,31.0,0.45,50.0,23.0,21.0,61.0,2013-10-15 00:00:00
河北省,廊坊市,131000,,,,92.0,16.0,46.0,4.556,73.0,35.0,56.0,134.0,2013-10-16 00:00:00
河北省,廊坊市,131000,,,,170.0,39.0,59.0,2.611,84.0,40.0,130.0,241.0,2013-10-17 00:00:00
河北省,廊坊市,131000,,,,269.0,50.0,85.0,1.952,93.0,49.0,205.0,365.0,2013-10-18 00:00:00
河北省,廊坊市,131000,,,,134.0,10.0,40.0,0.668,47.0,50.0,83.0,174.0,2013-10-19 00:00:00
河北省,廊坊市,131000,,,,69.0,9.0,42.0,0.491,62.0,40.0,29.0,88.0,2013-10-20 00:00:00
河北省,廊坊市,131000,,,,130.0,29.0,56.0,1.143,95.0,52.0,92.0,189.0,2013-10-21 00:00:00
河北省,廊坊市,131000,,,,158.0,63.0,61.0,1.376,91.0,68.0,119.0,220.0,2013-10-22 00:00:00
河北省,廊坊市,131000,,,,94.0,8.0,39.0,0.555,48.0,45.0,40.0,138.0,2013-10-23 00:00:00
河北省,廊坊市,131000,,,,63.0,4.0,30.0,0.397,66.0,32.0,21.0,78.0,2013-10-24 00:00:00
河北省,廊坊市,131000,,,,81.0,7.0,59.0,0.777,62.0,55.0,47.0,110.0,2013-10-25 00:00:00
河北省,廊坊市,131000,,,,123.0,18.0,65.0,0.978,69.0,37.0,86.0,175.0,2013-10-26 00:00:00
河北省,廊坊市,131000,,,,282.0,40.0,83.0,2.308,61.0,51.0,221.0,390.0,2013-10-27 00:00:00
河北省,廊坊市,131000,,,,394.0,26.0,95.0,3.431,26.0,40.0,310.0,526.0,2013-10-28 00:00:00
河北省,廊坊市,131000,,,,133.0,14.0,53.0,1.637,52.0,13.0,87.0,174.0,2013-10-29 00:00:00
河北省,廊坊市,131000,,,,168.0,21.0,59.0,1.674,70.0,37.0,127.0,236.0,2013-10-30 00:00:00
河北省,廊坊市,131000,,,,212.0,25.0,76.0,1.757,44.0,37.0,164.0,280.0,2013-10-31 00:00:00
河北省,廊坊市,131000,,,,248.0,19.0,70.0,2.242,23.0,27.0,192.0,311.0,2013-11-01 00:00:00
