province,city,city_code,level,index,pollutions,aqi,so2_24h,no2_24h,co_24h,o3_24h,o3_8h_24h,pm2_5_24h,pm10_24h,pubtime
河北省,廊坊市,131000,,,,248.0,19.0,70.0,2.242,23.0,27.0,192.0,311.0,2013-11-01 00:00:00
河北省,廊坊市,131000,,,,285.0,21.0,64.0,1.823,31.0,13.0,230.0,338.0,2013-11-02 00:00:00
河北省,廊坊市,131000,,,,126.0,9.0,47.0,0.983,60.0,21.0,78.0,170.0,2013-11-03 00:00:00
河北省,廊坊市,131000,,,,82.0,13.0,64.0,0.843,65.0,48.0,45.0,106.0,2013-11-04 00:00:00
河北省,廊坊市,131000,,,,199.0,41.0,83.0,1.902,36.0,35.0,145.0,265.0,2013-11-05 00:00:00
河北省,廊坊市,131000,,,,207.0,22.0,70.0,1.514,53.0,23.0,135.0,285.0,2013-11-06 00:00:00
河北省,廊坊市,131000,,,,52.0,15.0,42.0,0.917,55.0,42.0,15.0,56.0,2013-11-07 00:00:00
河北省,廊坊市,131000,,,,208.0,54.0,68.0,2.095,29.0,43.0,170.0,273.0,2013-11-08 00:00:00
河北省,廊坊市,131000,,,,162.0,17.0,42.0,0.366,45.0,37.0,123.0,302.0,2013-11-09 00:00:00
河北省,廊坊市,131000,,,,54.0,13.0,35.0,0.312,66.0,53.0,21.0,72.0,2013-11-10 00:00:00
河北省,廊坊市,131000,,,,71.0,23.0,53.0,0.561,57.0,59.0,36.0,91.0,2013-11-11 00:00:00
河北省,廊坊市,131000,,,,91.0,32.0,64.0,0.968,64.0,53.0,59.0,132.0,2013-11-12 00:00:00
河北省,廊坊市,131000,,,,228.0,81.0,106.0,2.782,28.0,50.0,172.0,321.0,2013-11-13 00:00:00
河北省,廊坊市,131000,,,,190.0,47.0,82.0,1.921,56.0,23.0,132.0,265.0,2013-11-14 00:00:00
河北省,廊坊市,131000,,,,207.0,79.0,90.0,1.851,53.0,42.0,135.0,321.0,2013-11-15 00:00:00
河北省,廊坊市,131000,,,,165.0,33.0,43.0,0.782,55.0,31.0,72.0,239.0,2013-11-16 00:00:00
河北省,廊坊市,131000,,,,53.0,21.0,36.0,0.507,55.0,51.0,18.0,62.0,2013-11-17 00:00:00
河北省,廊坊市,131000,,,,49.0,19.0,35.0,0.374,51.0,50.0,16.0,56.0,2013-11-18 00:00:00
河北省,廊坊市,131000,,,,52.0,37.0,45.0,0.607,46.0,48.0,26.0,50.0,2013-11-19 00:00:00
河北省,廊坊市,131000,,,,127.0,46.0,76.0,1.351,52.0,43.0,91.0,179.0,2013-11-20 00:00:00
河北省,廊坊市,131000,,,,210.0,97.0,101.0,1.86,36.0,34.0,176.0,307.0,2013-11-21 00:00:00
河北省,廊坊市,131000,,,,331.0,184.0,142.0,2.961,15.0,25.0,273.0,432.0,2013-11-22 00:00:00
河北省,廊坊市,131000,,,,402.0,166.0,162.0,3.894,18.0,11.0,344.0,510.0,2013-11-23 00:00:00
河北省,廊坊市,131000,,,,192.0,83.0,82.0,1.456,29.0,13.0,139.0,254.0,2013-11-24 00:00:00
河北省,廊坊市,131000,,,,69.0,35.0,41.0,0.653,54.0,25.0,29.0,85.0,2013-11-25 00:00:00
河北省,廊坊市,131000,,,,97.0,26.0,35.0,0.581,57.0,44.0,35.0,135.0,2013-11-26 00:00:00
河北省,廊坊市,131000,,,,64.0,9.0,18.0,0.238,60.0,58.0,11.0,85.0,2013-11-27 00:00:00
河北省,廊坊市,131000,,,,58.0,41.0,47.0,0.68,53.0,55.0,27.0,69.0,2013-11-28 00:00:00
河北省,廊坊市,131000,,,,134.0,93.0,77.0,1.77,52.0,45.0,96.0,170.0,2013-11-29 00:00:00
河北省,廊坊市,131000,,,,100.0,66.0,64.0,1.252,58.0,35.0,68.0,120.0,2013-11-30 00:00:00
河北省,廊坊市,131000,,,,142.0,82.0,78.0,1.579,47.0,41.0,107.0,160.0,2013-12-01 00:00:00
