province,city,city_code,level,index,pollutions,aqi,so2_24h,no2_24h,co_24h,o3_24h,o3_8h_24h,pm2_5_24h,pm10_24h,pubtime
河北省,廊坊市,131000,,,,96.0,25.0,40.0,1.091,197.0,100.0,55.0,135.0,2013-09-01 00:00:00
河北省,廊坊市,131000,,,,85.0,24.0,35.0,1.1,165.0,164.0,57.0,110.0,2013-09-02 00:00:00
河北省,廊坊市,131000,,,,125.0,32.0,46.0,0.917,186.0,140.0,93.0,161.0,2013-09-03 00:00:00
河北省,廊坊市,131000,,,,110.0,17.0,34.0,1.336,96.0,162.0,82.0,105.0,2013-09-04 00:00:00
河北省,廊坊市,131000,,,,44.0,15.0,21.0,0.722,123.0,78.0,28.0,40.0,2013-09-05 00:00:00
河北省,廊坊市,131000,,,,94.0,25.0,50.0,1.951,126.0,105.0,69.0,108.0,2013-09-06 00:00:00
河北省,廊坊市,131000,,,,126.0,24.0,59.0,1.962,154.0,98.0,91.0,170.0,2013-09-07 00:00:00
河北省,廊坊市,131000,,,,205.0,18.0,71.0,2.245,60.0,114.0,150.0,259.0,2013-09-08 00:00:00
河北省,廊坊市,131000,,,,127.0,23.0,36.0,1.162,115.0,55.0,96.0,161.0,2013-09-09 00:00:00
河北省,廊坊市,131000,,,,114.0,17.0,56.0,0.838,106.0,95.0,75.0,148.0,2013-09-10 00:00:00
河北省,廊坊市,131000,,,,128.0,29.0,63.0,1.289,190.0,85.0,89.0,198.0,2013-09-11 00:00:00
河北省,廊坊市,131000,,,,208.0,95.0,53.0,2.513,224.0,166.0,163.0,271.0,2013-09-12 00:00:00
河北省,廊坊市,131000,,,,137.0,12.0,33.0,1.291,91.0,182.0,101.0,166.0,2013-09-13 00:00:00
河北省,廊坊市,131000,,,,110.0,10.0,50.0,1.02,170.0,60.0,74.0,137.0,2013-09-14 00:00:00
河北省,廊坊市,131000,,,,70.0,20.0,56.0,0.604,91.0,106.0,27.0,90.0,2013-09-15 00:00:00
河北省,廊坊市,131000,,,,102.0,30.0,72.0,1.826,52.0,63.0,56.0,148.0,2013-09-16 00:00:00
河北省,廊坊市,131000,,,,134.0,14.0,70.0,3.338,10.0,43.0,100.0,166.0,2013-09-17 00:00:00
河北省,廊坊市,131000,,,,121.0,19.0,42.0,1.844,117.0,10.0,90.0,154.0,2013-09-18 00:00:00
河北省,廊坊市,131000,,,,143.0,16.0,35.0,1.695,96.0,92.0,108.0,169.0,2013-09-19 00:00:00
河北省,廊坊市,131000,,,,106.0,10.0,53.0,1.174,118.0,67.0,70.0,139.0,2013-09-20 00:00:00
河北省,廊坊市,131000,,,,100.0,17.0,56.0,1.038,167.0,99.0,67.0,152.0,2013-09-21 00:00:00
河北省,廊坊市,131000,,,,94.0,13.0,58.0,0.87,81.0,120.0,61.0,138.0,2013-09-22 00:00:00
河北省,廊坊市,131000,,,,57.0,6.0,37.0,0.533,44.0,62.0,31.0,67.0,2013-09-23 00:00:00
河北省,廊坊市,131000,,,,47.0,7.0,40.0,0.342,60.0,30.0,16.0,54.0,2013-09-24 00:00:00
河北省,廊坊市,131000,,,,58.0,9.0,48.0,0.496,77.0,43.0,17.0,69.0,2013-09-25 00:00:00
河北省,廊坊市,131000,,,,97.0,29.0,64.0,0.967,101.0,66.0,50.0,144.0,2013-09-26 00:00:00
河北省,廊坊市,131000,,,,237.0,44.0,58.0,1.655,200.0,73.0,189.0,319.0,2013-09-27 00:00:00
河北省,廊坊市,131000,,,,257.0,38.0,65.0,1.786,128.0,160.0,207.0,311.0,2013-09-28 00:00:00
河北省,廊坊市,131000,,,,224.0,19.0,83.0,2.739,16.0,97.0,175.0,284.0,2013-09-29 00:00:00
河北省,廊坊市,131000,,,,142.0,27.0,59.0,1.506,92.0,15.0,107.0,179.0,2013-09-30 00:00:00
河北省,廊坊市,131000,,,,101.0,9.0,48.0,1.129,57.0,48.0,72.0,126.0,2013-10-01 00:00:00
