province,city,city_code,level,index,pollutions,aqi,so2_24h,no2_24h,co_24h,o3_24h,o3_8h_24h,pm2_5_24h,pm10_24h,pubtime
河北省,张家口市,131200,,,,104.0,23.0,26.0,0.707,84.0,43.0,26.0,67.0,2013-04-01 00:00:00
河北省,张家口市,131200,,,,48.0,43.0,45.0,0.963,79.0,76.0,27.0,67.0,2013-04-02 00:00:00
河北省,张家口市,131200,,,,82.0,41.0,41.0,1.045,132.0,65.0,52.0,162.0,2013-04-03 00:00:00
河北省,张家口市,131200,,,,102.0,34.0,50.0,1.267,106.0,121.0,57.0,104.0,2013-04-04 00:00:00
河北省,张家口市,131200,,,,70.0,23.0,24.0,0.836,82.0,70.0,23.0,44.0,2013-04-05 00:00:00
河北省,张家口市,131200,,,,52.0,27.0,30.0,0.818,84.0,74.0,18.0,66.0,2013-04-06 00:00:00
河北省,张家口市,131200,,,,78.0,41.0,42.0,1.147,84.0,79.0,37.0,114.0,2013-04-07 00:00:00
河北省,张家口市,131200,,,,88.0,15.0,15.0,0.655,85.0,73.0,17.0,156.0,2013-04-08 00:00:00
河北省,张家口市,131200,,,,77.0,18.0,19.0,0.615,101.0,85.0,11.0,53.0,2013-04-09 00:00:00
河北省,张家口市,131200,,,,54.0,20.0,21.0,0.665,101.0,101.0,13.0,66.0,2013-04-10 00:00:00
河北省,张家口市,131200,,,,56.0,29.0,30.0,0.841,95.0,101.0,21.0,83.0,2013-04-11 00:00:00
河北省,张家口市,131200,,,,69.0,41.0,32.0,1.024,95.0,95.0,29.0,97.0,2013-04-12 00:00:00
河北省,张家口市,131200,,,,61.0,35.0,24.0,0.9,86.0,95.0,22.0,75.0,2013-04-13 00:00:00
河北省,张家口市,131200,,,,55.0,34.0,29.0,0.768,80.0,81.0,20.0,66.0,2013-04-14 00:00:00
河北省,张家口市,131200,,,,156.0,51.0,46.0,1.263,103.0,71.0,56.0,259.0,2013-04-15 00:00:00
河北省,张家口市,131200,,,,73.0,23.0,29.0,0.83,103.0,103.0,28.0,101.0,2013-04-16 00:00:00
河北省,张家口市,131200,,,,124.0,22.0,25.0,0.887,115.0,103.0,51.0,190.0,2013-04-17 00:00:00
河北省,张家口市,131200,,,,36.0,24.0,18.0,0.629,88.0,98.0,17.0,36.0,2013-04-18 00:00:00
河北省,张家口市,131200,,,,74.0,40.0,39.0,0.994,71.0,84.0,25.0,134.0,2013-04-19 00:00:00
河北省,张家口市,131200,,,,112.0,29.0,36.0,1.104,101.0,61.0,70.0,135.0,2013-04-20 00:00:00
河北省,张家口市,131200,,,,73.0,46.0,36.0,0.947,115.0,90.0,25.0,94.0,2013-04-21 00:00:00
河北省,张家口市,131200,,,,164.0,52.0,62.0,1.674,106.0,77.0,74.0,258.0,2013-04-22 00:00:00
河北省,张家口市,131200,,,,158.0,41.0,50.0,1.409,104.0,61.0,74.0,223.0,2013-04-23 00:00:00
河北省,张家口市,131200,,,,72.0,25.0,24.0,0.89,108.0,92.0,26.0,85.0,2013-04-24 00:00:00
河北省,张家口市,131200,,,,57.0,22.0,21.0,0.726,113.0,101.0,25.0,58.0,2013-04-25 00:00:00
河北省,张家口市,131200,,,,101.0,41.0,37.0,1.084,105.0,109.0,31.0,138.0,2013-04-26 00:00:00
河北省,张家口市,131200,,,,110.0,38.0,39.0,1.088,154.0,99.0,36.0,159.0,2013-04-27 00:00:00
河北省,张家口市,131200,,,,70.0,38.0,28.0,1.003,131.0,161.0,36.0,92.0,2013-04-28 00:00:00
河北省,张家口市,131200,,,,48.0,22.0,18.0,0.676,115.0,108.0,22.0,52.0,2013-04-29 00:00:00
河北省,张家口市,131200,,,,43.0,24.0,22.0,0.783,117.0,109.0,17.0,40.0,2013-04-30 00:00:00
河北省,张家口市,131200,,,,58.0,34.0,33.0,0.937,126.0,113.0,21.0,69.0,2013-05-01 00:00:00
