province,city,city_code,level,index,pollutions,aqi,so2_24h,no2_24h,co_24h,o3_24h,o3_8h_24h,pm2_5_24h,pm10_24h,pubtime
河北省,张家口市,131200,,,,124.0,21.0,21.0,1.189,107.0,107.0,22.0,38.0,2013-03-01 00:00:00
河北省,张家口市,131200,,,,54.0,49.0,42.0,1.788,94.0,106.0,61.0,109.0,2013-03-02 00:00:00
河北省,张家口市,131200,,,,106.0,47.0,28.0,1.618,96.0,94.0,45.0,137.0,2013-03-03 00:00:00
河北省,张家口市,131200,,,,66.0,37.0,24.0,1.293,113.0,96.0,37.0,65.0,2013-03-04 00:00:00
河北省,张家口市,131200,,,,81.0,56.0,48.0,1.741,113.0,113.0,75.0,178.0,2013-03-05 00:00:00
河北省,张家口市,131200,,,,124.0,41.0,31.0,1.29,80.0,113.0,55.0,180.0,2013-03-06 00:00:00
河北省,张家口市,131200,,,,97.0,27.0,39.0,1.058,76.0,78.0,34.0,147.0,2013-03-07 00:00:00
河北省,张家口市,131200,,,,110.0,40.0,48.0,1.218,73.0,74.0,46.0,206.0,2013-03-08 00:00:00
河北省,张家口市,131200,,,,172.0,21.0,31.0,0.831,78.0,72.0,46.0,244.0,2013-03-09 00:00:00
河北省,张家口市,131200,,,,85.0,25.0,31.0,0.649,84.0,78.0,25.0,49.0,2013-03-10 00:00:00
河北省,张家口市,131200,,,,67.0,42.0,60.0,1.224,76.0,82.0,62.0,137.0,2013-03-11 00:00:00
河北省,张家口市,131200,,,,116.0,38.0,56.0,1.197,64.0,76.0,69.0,151.0,2013-03-12 00:00:00
河北省,张家口市,131200,,,,91.0,25.0,22.0,0.526,56.0,64.0,17.0,27.0,2013-03-13 00:00:00
河北省,张家口市,131200,,,,44.0,57.0,48.0,1.308,56.0,56.0,40.0,72.0,2013-03-14 00:00:00
河北省,张家口市,131200,,,,79.0,40.0,50.0,2.233,39.0,56.0,66.0,139.0,2013-03-15 00:00:00
河北省,张家口市,131200,,,,76.0,44.0,38.0,1.218,65.0,39.0,35.0,76.0,2013-03-16 00:00:00
河北省,张家口市,131200,,,,97.0,59.0,38.0,1.714,65.0,65.0,64.0,102.0,2013-03-17 00:00:00
河北省,张家口市,131200,,,,65.0,18.0,16.0,0.892,52.0,65.0,14.0,18.0,2013-03-18 00:00:00
河北省,张家口市,131200,,,,52.0,16.0,17.0,0.888,52.0,65.0,12.0,9.0,2013-03-19 00:00:00
河北省,张家口市,131200,,,,48.0,20.0,22.0,0.888,52.0,63.0,15.0,37.0,2013-03-20 00:00:00
河北省,张家口市,131200,,,,63.0,45.0,39.0,0.0,,52.0,38.0,76.0,2013-03-21 00:00:00
河北省,张家口市,131200,,,,38.0,32.0,27.0,0.0,,,17.0,25.0,2013-03-22 00:00:00
河北省,张家口市,131200,,,,58.0,30.0,29.0,0.0,,,36.0,72.0,2013-03-23 00:00:00
河北省,张家口市,131200,,,,27.0,23.0,24.0,0.689,32.0,28.0,17.0,21.0,2013-03-24 00:00:00
河北省,张家口市,131200,,,,88.0,38.0,42.0,0.887,68.0,37.0,71.0,81.0,2013-03-25 00:00:00
河北省,张家口市,131200,,,,63.0,47.0,39.0,1.086,69.0,59.0,41.0,71.0,2013-03-26 00:00:00
河北省,张家口市,131200,,,,64.0,29.0,26.0,0.751,60.0,45.0,27.0,36.0,2013-03-27 00:00:00
河北省,张家口市,131200,,,,45.0,25.0,24.0,0.597,72.0,51.0,19.0,55.0,2013-03-28 00:00:00
河北省,张家口市,131200,,,,55.0,46.0,47.0,1.138,55.0,66.0,43.0,103.0,2013-03-29 00:00:00
河北省,张家口市,131200,,,,93.0,39.0,55.0,1.235,72.0,47.0,67.0,141.0,2013-03-30 00:00:00
河北省,张家口市,131200,,,,104.0,38.0,64.0,1.454,61.0,65.0,94.0,185.0,2013-03-31 00:00:00
河北省,张家口市,131200,,,,104.0,23.0,26.0,0.707,84.0,43.0,26.0,67.0,2013-04-01 00:00:00
