province,city,city_code,level,index,pollutions,aqi,so2_24h,no2_24h,co_24h,o3_24h,o3_8h_24h,pm2_5_24h,pm10_24h,pubtime
河北省,廊坊市,131000,,,,177,25,30,0.777,62,64,32,53,2013/3/1 0:00
河北省,廊坊市,131000,,,,63,59,53,1.841,57,61,63,109,2013/3/2 0:00
河北省,廊坊市,131000,,,,167,73,67,2.766,55,57,154,265,2013/3/3 0:00
河北省,廊坊市,131000,,,,133,36,42,1.154,59,55,44,107,2013/3/4 0:00
河北省,廊坊市,131000,,,,131,98,68,2.44,59,59,168,247,2013/3/5 0:00
河北省,廊坊市,131000,,,,283,145,93,5.173,53,59,257,430,2013/3/6 0:00
河北省,廊坊市,131000,,,,358,120,92,4.224,72,53,286,477,2013/3/7 0:00
河北省,廊坊市,131000,,,,419,80,90,3.977,72,72,274,507,2013/3/8 0:00
河北省,廊坊市,131000,,,,242,53,41,2.154,62,72,94,388,2013/3/9 0:00
河北省,廊坊市,131000,,,,144,41,35,1.103,63,62,57,127,2013/3/10 0:00
河北省,廊坊市,131000,,,,154,91,52,1.917,50,62,127,228,2013/3/11 0:00
河北省,廊坊市,131000,,,,157,48,56,1.756,45,50,121,157,2013/3/12 0:00
河北省,廊坊市,131000,,,,105,32,36,0.789,45,45,28,57,2013/3/13 0:00
河北省,廊坊市,131000,,,,83,73,59,1.533,68,45,101,155,2013/3/14 0:00
河北省,廊坊市,131000,,,,188,92,75,2.164,63,66,185,302,2013/3/15 0:00
河北省,廊坊市,131000,,,,294,87,86,3.023,60,63,253,384,2013/3/16 0:00
河北省,廊坊市,131000,,,,288,110,102,3.138,72,60,316,451,2013/3/17 0:00
河北省,廊坊市,131000,,,,386,32,58,1.309,72,62,182,376,2013/3/18 0:00
河北省,廊坊市,131000,,,,329,12,30,0.261,75,65,25,167,2013/3/19 0:00
河北省,廊坊市,131000,,,,175,25,27,0.274,72,72,48,117,2013/3/20 0:00
河北省,廊坊市,131000,,,,189,57,60,0,,72,149,222,2013/3/21 0:00
河北省,廊坊市,131000,,,,181,43,57,0,,,133,219,2013/3/22 0:00
河北省,廊坊市,131000,,,,128,48,54,0,,,86,162,2013/3/23 0:00
河北省,廊坊市,131000,,,,44,16,33,1.287,28,28,22,58,2013/3/24 0:00
河北省,廊坊市,131000,,,,132,62,72,1.549,52,18,132,195,2013/3/25 0:00
河北省,廊坊市,131000,,,,163,70,60,1.382,51,42,136,260,2013/3/26 0:00
河北省,廊坊市,131000,,,,164,31,40,0.932,59,37,91,190,2013/3/27 0:00
河北省,廊坊市,131000,,,,108,38,46,1.052,42,46,82,136,2013/3/28 0:00
河北省,廊坊市,131000,,,,96,50,55,1.17,46,38,90,169,2013/3/29 0:00
河北省,廊坊市,131000,,,,111,48,52,1.353,44,30,91,132,2013/3/30 0:00
河北省,廊坊市,131000,,,,182,55,72,1.726,33,37,221,290,2013/3/31 0:00
河北省,廊坊市,131000,,,,265,49,49,1.636,51,30,118,207,2013/4/1 0:00
