province,city,city_code,level,index,pollutions,aqi,so2_24h,no2_24h,co_24h,o3_24h,o3_8h_24h,pm2_5_24h,pm10_24h,pubtime
河北省,廊坊市,131000,,,,265,49,49,1.636,51,30,118,207,2013/4/1 0:00
河北省,廊坊市,131000,,,,133,46,51,1.643,74,45,107,202,2013/4/2 0:00
河北省,廊坊市,131000,,,,170,42,55,1.167,62,65,144,281,2013/4/3 0:00
河北省,廊坊市,131000,,,,221,44,57,1.428,48,47,155,142,2013/4/4 0:00
河北省,廊坊市,131000,,,,159,21,43,1.197,42,37,79,106,2013/4/5 0:00
河北省,廊坊市,131000,,,,64,13,41,0.469,46,40,32,55,2013/4/6 0:00
河北省,廊坊市,131000,,,,93,54,56,1.218,50,44,82,159,2013/4/7 0:00
河北省,廊坊市,131000,,,,111,9,31,0.468,50,42,30,184,2013/4/8 0:00
河北省,廊坊市,131000,,,,90,8,26,0.351,47,49,17,65,2013/4/9 0:00
河北省,廊坊市,131000,,,,64,10,33,0.422,46,46,26,69,2013/4/10 0:00
河北省,廊坊市,131000,,,,64,14,51,0.594,44,46,24,78,2013/4/11 0:00
河北省,廊坊市,131000,,,,104,49,44,0.831,45,44,71,150,2013/4/12 0:00
河北省,廊坊市,131000,,,,142,44,42,0.834,45,44,99,236,2013/4/13 0:00
河北省,廊坊市,131000,,,,86,25,33,0.683,50,38,38,128,2013/4/14 0:00
河北省,廊坊市,131000,,,,125,57,49,1.349,56,43,73,200,2013/4/15 0:00
河北省,廊坊市,131000,,,,131,53,48,1.248,65,56,73,208,2013/4/16 0:00
河北省,廊坊市,131000,,,,84,30,43,0.741,46,58,49,117,2013/4/17 0:00
河北省,廊坊市,131000,,,,82,15,21,0.37,44,41,21,112,2013/4/18 0:00
河北省,廊坊市,131000,,,,75,26,30,0.88,39,42,58,95,2013/4/19 0:00
河北省,廊坊市,131000,,,,93,15,21,0.688,53,36,70,95,2013/4/20 0:00
河北省,廊坊市,131000,,,,170,73,41,1.241,50,48,115,220,2013/4/21 0:00
河北省,廊坊市,131000,,,,167,47,35,0.932,49,35,125,193,2013/4/22 0:00
河北省,廊坊市,131000,,,,226,40,47,1.453,50,43,177,249,2013/4/23 0:00
河北省,廊坊市,131000,,,,240,21,49,1.411,62,32,170,313,2013/4/24 0:00
河北省,廊坊市,131000,,,,79,10,32,0.43,45,52,21,100,2013/4/25 0:00
河北省,廊坊市,131000,,,,126,52,47,0.993,68,38,83,191,2013/4/26 0:00
河北省,廊坊市,131000,,,,124,55,35,1.651,90,62,75,195,2013/4/27 0:00
河北省,廊坊市,131000,,,,135,44,36,1.793,63,73,100,191,2013/4/28 0:00
河北省,廊坊市,131000,,,,148,16,21,0.604,62,57,59,226,2013/4/29 0:00
河北省,廊坊市,131000,,,,97,16,33,0.536,74,60,47,143,2013/4/30 0:00
河北省,廊坊市,131000,,,,91,22,25,0.844,80,58,61,118,2013/5/1 0:00
