province,city,city_code,level,index,pollutions,aqi,so2_24h,no2_24h,co_24h,o3_24h,o3_8h_24h,pm2_5_24h,pm10_24h,pubtime
河北省,保定市,130600,,,,224.0,40.0,52.0,3.089,74.0,69.0,103.0,238.0,2013-04-01 00:00:00
河北省,保定市,130600,,,,142.0,56.0,49.0,3.096,101.0,90.0,113.0,213.0,2013-04-02 00:00:00
河北省,保定市,130600,,,,167.0,49.0,56.0,3.032,119.0,92.0,124.0,311.0,2013-04-03 00:00:00
河北省,保定市,130600,,,,142.0,29.0,46.0,3.771,58.0,55.0,67.0,135.0,2013-04-04 00:00:00
河北省,保定市,130600,,,,114.0,19.0,37.0,3.514,79.0,64.0,74.0,109.0,2013-04-05 00:00:00
河北省,保定市,130600,,,,71.0,21.0,31.0,3.047,76.0,71.0,27.0,74.0,2013-04-06 00:00:00
河北省,保定市,130600,,,,129.0,75.0,60.0,3.529,81.0,77.0,88.0,222.0,2013-04-07 00:00:00
河北省,保定市,130600,,,,150.0,19.0,26.0,2.312,82.0,79.0,40.0,182.0,2013-04-08 00:00:00
河北省,保定市,130600,,,,97.0,8.0,18.0,2.028,86.0,85.0,22.0,63.0,2013-04-09 00:00:00
河北省,保定市,130600,,,,50.0,11.0,23.0,1.834,77.0,83.0,23.0,48.0,2013-04-10 00:00:00
河北省,保定市,130600,,,,63.0,23.0,28.0,2.149,69.0,68.0,34.0,75.0,2013-04-11 00:00:00
河北省,保定市,130600,,,,111.0,44.0,41.0,3.091,82.0,81.0,69.0,156.0,2013-04-12 00:00:00
河北省,保定市,130600,,,,131.0,42.0,44.0,3.409,83.0,66.0,64.0,202.0,2013-04-13 00:00:00
河北省,保定市,130600,,,,98.0,36.0,29.0,3.48,170.0,157.0,48.0,141.0,2013-04-14 00:00:00
河北省,保定市,130600,,,,125.0,48.0,41.0,3.477,158.0,118.0,72.0,217.0,2013-04-15 00:00:00
河北省,保定市,130600,,,,115.0,34.0,30.0,3.559,118.0,118.0,69.0,176.0,2013-04-16 00:00:00
河北省,保定市,130600,,,,83.0,20.0,27.0,3.229,101.0,93.0,55.0,105.0,2013-04-17 00:00:00
河北省,保定市,130600,,,,80.0,22.0,23.0,3.042,85.0,83.0,33.0,107.0,2013-04-18 00:00:00
河北省,保定市,130600,,,,66.0,21.0,26.0,2.821,72.0,69.0,40.0,72.0,2013-04-19 00:00:00
河北省,保定市,130600,,,,98.0,24.0,43.0,2.663,92.0,80.0,63.0,121.0,2013-04-20 00:00:00
河北省,保定市,130600,,,,163.0,47.0,58.0,3.369,102.0,63.0,105.0,207.0,2013-04-21 00:00:00
河北省,保定市,130600,,,,161.0,40.0,40.0,2.997,74.0,66.0,115.0,192.0,2013-04-22 00:00:00
河北省,保定市,130600,,,,209.0,46.0,50.0,3.355,46.0,59.0,163.0,238.0,2013-04-23 00:00:00
河北省,保定市,130600,,,,198.0,31.0,45.0,2.373,76.0,69.0,125.0,262.0,2013-04-24 00:00:00
河北省,保定市,130600,,,,72.0,20.0,24.0,0.851,89.0,86.0,19.0,93.0,2013-04-25 00:00:00
河北省,保定市,130600,,,,145.0,96.0,59.0,1.611,70.0,63.0,96.0,219.0,2013-04-26 00:00:00
河北省,保定市,130600,,,,124.0,51.0,44.0,1.491,92.0,93.0,52.0,198.0,2013-04-27 00:00:00
河北省,保定市,130600,,,,137.0,55.0,49.0,1.958,103.0,96.0,88.0,189.0,2013-04-28 00:00:00
河北省,保定市,130600,,,,141.0,53.0,50.0,1.831,122.0,104.0,76.0,211.0,2013-04-29 00:00:00
河北省,保定市,130600,,,,115.0,50.0,48.0,1.474,104.0,98.0,63.0,173.0,2013-04-30 00:00:00
河北省,保定市,130600,,,,100.0,40.0,35.0,1.384,98.0,92.0,50.0,145.0,2013-05-01 00:00:00
