,pm,day,aqi-bj-1,pm2.5-bj-1,pm10-bj-1,co-bj-1,no2-bj-1,so2-bj-1,o3-bj-1,aqi-lf-1,pm2.5-lf-1,pm10-lf-1,co-lf-1,no2-lf-1,so2-lf-1,o3-lf-1,aqi-ts-1,pm2.5-ts-1,pm10-ts-1,co-ts-1,no2-ts-1,so2-ts-1,o3-ts-1,aqi-tj-1,pm2.5-tj-1,pm10-tj-1,co-tj-1,no2-tj-1,so2-tj-1,o3-tj-1,aqi-zjk-1,pm2.5-zjk-1,pm10-zjk-1,co-zjk-1,no2-zjk-1,so2-zjk-1,o3-zjk-1,aqi-cd-1,pm2.5-cd-1,pm10-cd-1,co-cd-1,no2-cd-1,so2-cd-1,o3-cd-1,EVP,GST-mean,GST-max,GST-min,PRE-208,PRE-820,PRE-2020,PRS-mean,PRS-max,PRS-min,RHU-mean,RHU-min,SSD,TEM-mean,TEM-max,TEM-min,WIN-mean,WIN-max,WIN-ext,year_2013,year_2014,year_2015,year_2016,year_2017,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,class-bj-1_1,class-bj-1_2,class-bj-1_3,class-bj-1_4,class-bj-1_5,class-bj-1_6,class-lf-1_1,class-lf-1_2,class-lf-1_3,class-lf-1_4,class-lf-1_5,class-lf-1_6,class-ts-1_1,class-ts-1_2,class-ts-1_3,class-ts-1_4,class-ts-1_5,class-ts-1_6,class-tj-1_1,class-tj-1_2,class-tj-1_3,class-tj-1_4,class-tj-1_5,class-tj-1_6,class-zjk-1_1,class-zjk-1_2,class-zjk-1_3,class-zjk-1_4,class-zjk-1_5,class-zjk-1_6,class-cd-1_1,class-cd-1_2,class-cd-1_3,class-cd-1_4,class-cd-1_5,class-cd-1_6,WD-max_1,WD-max_2,WD-max_3,WD-max_4,WD-max_5,WD-max_6,WD-max_7,WD-max_8,WD-max_9,WD-max_10,WD-max_11,WD-max_12,WD-max_13,WD-max_14,WD-max_15,WD-max_16,WD-ext_1,WD-ext_2,WD-ext_3,WD-ext_4,WD-ext_5,WD-ext_6,WD-ext_7,WD-ext_8,WD-ext_9,WD-ext_10,WD-ext_11,WD-ext_12,WD-ext_13,WD-ext_14,WD-ext_15,WD-ext_16,class-pm_1,class-pm_2,class-pm_3,class-pm_4,class-pm_5,class-pm_6
0,4.174387269895637,2,4.962844630259907,4.700480365792417,4.9344739331306915,1.2809338454620642,4.48863636973214,4.127134385045092,11,5.545177444479562,5.327876168789581,5.648974238161206,1.410986973710262,4.948759890378168,5.0369526024136295,12,5.902633333401366,5.755742213586912,5.988961416889864,1.7047480922384253,4.762173934797756,5.056245805348308,13,5.739792912179234,5.564520407322694,6.042632833682381,1.5040773967762742,4.941642422609304,5.308267697401205,13,4.74493212836325,4.394449154672439,5.187385805840755,1.0647107369924282,4.31748811353631,4.836281906951478,3.5553480614894135,4.672828834461906,4.219507705176107,5.099866427824199,1.1939224684724346,4.04305126783455,4.5217885770490405,15,15.0,-11,220,-83,0.0,0.0,0.0,10151,10172,10129,47,2.995732273553991,79,29,115,-35,2.3978952727983707,22,3.58351893845611,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,4.418840607796598,3,4.465908118654584,4.174387269895637,4.465908118654584,0.9555114450274363,4.007333185232471,3.6635616461296463,45,5.0369526024136295,4.770684624465665,5.187385805840755,1.0296194171811581,4.532599493153256,4.465908118654584,35,5.662960480135946,5.472270673671475,5.771441123130016,1.62924053973028,4.584967478670572,5.176149732573829,20,5.420534999272286,5.170483995038151,5.605802066295998,1.4350845252893227,4.718498871295094,4.969813299576001,31,4.430816798843313,3.828641396489095,4.770684624465665,0.7419373447293773,3.871201010907891,4.477336814478207,3.970291913552122,4.6443908991413725,4.30406509320417,5.056245805348308,1.0296194171811581,3.9889840465642745,4.174387269895637,17,27.0,27,240,-70,0.0,0.0,0.0,10177,10200,10153,42,2.833213344056216,82,50,147,-10,2.70805020110221,43,4.189654742026425,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,3.6888794541139363,4,4.700480365792417,4.418840607796598,4.624972813284271,1.0986122886681098,4.143134726391533,3.7612001156935624,23,5.442417710521793,5.198497031265826,5.5093883366279774,1.3862943611198906,4.634728988229636,4.718498871295094,18,5.488937726156687,5.2574953720277815,5.697093486505405,1.4816045409242156,4.634728988229636,5.1647859739235145,15,5.62040086571715,5.420534999272286,5.8888779583328805,1.589235205116581,4.859812404361672,5.288267030694535,12,4.553876891600541,3.9318256327243257,4.9344739331306915,0.7884573603642702,3.9889840465642745,4.787491742782046,3.7376696182833684,4.584967478670572,4.127134385045092,4.983606621708336,1.0647107369924282,3.970291913552122,4.204692619390966,9,17.0,7,206,-73,0.0,0.0,0.0,10159,10179,10140,47,3.044522437723423,78,47,134,-16,2.4849066497880004,21,3.4965075614664802,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,4.859812404361672,5,4.04305126783455,3.6888794541139363,4.04305126783455,0.7884573603642702,3.6635616461296463,3.4339872044851463,52,4.6913478822291435,4.406719247264253,4.882801922586371,0.9555114450274363,4.143134726391533,4.31748811353631,35,4.605170185988092,4.2626798770413155,5.003946305945459,1.2237754316221157,4.007333185232471,4.795790545596741,31,4.844187086458591,4.574710978503383,5.214935757608986,1.1939224684724346,4.2626798770413155,4.624972813284271,26,4.127134385045092,3.4657359027997265,4.290459441148391,0.5306282510621704,3.4657359027997265,4.442651256490317,4.04305126783455,4.477336814478207,3.9318256327243257,4.8283137373023015,0.832909122935104,3.7376696182833684,3.9512437185814275,34,41.0,39,219,-52,0.0,0.0,0.0,10197,10231,10152,32,2.833213344056216,82,64,109,34,3.295836866004329,53,4.406719247264253,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,5.488937726156687,6,5.135798437050262,4.859812404361672,5.093750200806762,1.252762968495368,4.3694478524670215,3.8918202981106265,15,5.337538079701318,5.062595033026967,5.384495062789089,1.1631508098056809,4.454347296253507,4.532599493153256,16,4.948759890378168,4.68213122712422,5.14166355650266,1.1631508098056809,4.2626798770413155,4.859812404361672,16,4.762173934797756,4.48863636973214,5.075173815233827,0.9555114450274363,4.2626798770413155,4.74493212836325,16,4.442651256490317,3.9889840465642745,4.787491742782046,0.7419373447293773,3.8066624897703196,4.543294782270004,3.713572066704308,4.553876891600541,3.784189633918261,4.941642422609304,0.9932517730102833,3.912023005428146,4.060443010546419,17,22.0,-3,177,-73,0.0,0.0,0.0,10160,10193,10135,50,3.332204510175204,68,31,99,-17,2.4849066497880004,34,3.9512437185814275,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
5,5.159055299214529,7,5.676753802268282,5.488937726156687,5.655991810819852,1.6486586255873816,4.59511985013459,4.174387269895637,6,6.059123195581797,5.968707559985366,6.175867270105761,1.8870696490323797,4.976733742420574,4.59511985013459,9,5.638354669333745,5.442417710521793,5.762051382780177,1.791759469228055,4.394449154672439,5.605802066295998,8,5.69035945432406,5.5053315359323625,5.993961427306569,1.410986973710262,4.68213122712422,4.955827057601261,11,4.61512051684126,4.204692619390966,5.0106352940962555,0.832909122935104,4.02535169073515,4.912654885736052,3.58351893845611,4.727387818712341,4.110873864173311,5.1647859739235145,1.0986122886681098,4.007333185232471,4.204692619390966,11,7.0,-15,108,-75,0.0,0.0,0.0,10161,10178,10145,74,4.060443010546419,41,15,62,-20,2.70805020110221,27,3.7376696182833684,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,2.4849066497880004,8,5.4116460518550396,5.159055299214529,5.247024072160486,1.3609765531356006,4.110873864173311,3.871201010907891,41,5.82600010738045,5.666426688112432,6.0112671744041615,1.4350845252893227,4.553876891600541,4.007333185232471,11,5.831882477283517,5.673323267171493,6.003887067106539,1.916922612182061,4.343805421853684,5.480638923341991,6,5.517452896464707,5.293304824724492,5.799092654460526,1.6094379124341003,4.477336814478207,4.499809670330265,9,4.219507705176107,3.4011973816621555,4.430816798843313,0.4700036292457356,3.044522437723423,4.382026634673881,4.07753744390572,4.804021044733257,4.394449154672439,5.2574953720277815,1.1314021114911006,3.8918202981106265,4.060443010546419,19,26.0,32,175,-38,0.0,0.0,0.0,10167,10194,10142,66,3.044522437723423,11,46,102,11,3.1780538303479458,70,4.919980925828125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
7,3.091042453358316,9,3.295836866004329,2.4849066497880004,2.833213344056216,0.4700036292457356,3.1354942159291497,2.3978952727983707,51,4.04305126783455,3.1780538303479458,4.127134385045092,0.4054651081081644,3.5553480614894135,3.258096538021482,33,4.219507705176107,3.5553480614894135,4.442651256490317,0.7419373447293773,3.6109179126442243,4.04305126783455,48,3.7612001156935624,3.2188758248682006,3.7612001156935624,0.6931471805599453,3.58351893845611,3.713572066704308,39,3.713572066704308,2.995732273553991,3.713572066704308,0.4054651081081644,2.9444389791664403,4.382026634673881,4.290459441148391,3.58351893845611,2.9444389791664403,3.58351893845611,0.33647223662121295,2.833213344056216,2.8903717578961645,49,50.0,13,178,-69,0.0,0.0,0.0,10200,10221,10181,29,2.9444389791664403,74,31,65,10,3.6375861597263857,70,4.962844630259907,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
8,2.995732273553991,10,3.828641396489095,3.091042453358316,3.828641396489095,0.6931471805599453,3.4011973816621555,2.70805020110221,52,4.7535901911063645,4.477336814478207,5.147494476813453,0.9555114450274363,4.007333185232471,4.0943445622221,33,4.762173934797756,4.48863636973214,5.093750200806762,1.0986122886681098,4.007333185232471,4.406719247264253,35,4.700480365792417,4.382026634673881,5.123963979403259,1.0986122886681098,4.07753744390572,4.574710978503383,36,4.48863636973214,3.1354942159291497,4.844187086458591,0.33647223662121295,2.8903717578961645,3.9889840465642745,4.276666119016055,4.07753744390572,3.367295829986474,4.204692619390966,0.4700036292457356,3.2188758248682006,3.4339872044851463,49,29.0,-12,147,-88,0.0,0.0,0.0,10158,10188,10124,38,2.8903717578961645,47,8,70,-45,3.5553480614894135,91,5.081404364984463,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
9,2.833213344056216,11,3.4339872044851463,2.995732273553991,3.4339872044851463,0.5306282510621704,3.4339872044851463,2.772588722239781,45,4.189654742026425,3.8066624897703196,4.406719247264253,0.7419373447293773,3.9318256327243257,4.007333185232471,35,4.1588830833596715,3.713572066704308,4.330733340286331,0.6931471805599453,3.912023005428146,3.9318256327243257,41,4.2626798770413155,3.6888794541139363,4.5217885770490405,0.8754687373538999,3.9512437185814275,4.3694478524670215,36,4.007333185232471,3.367295829986474,4.0943445622221,0.5877866649021191,3.5553480614894135,4.574710978503383,4.23410650459726,3.828641396489095,3.258096538021482,3.828641396489095,0.4700036292457356,3.1354942159291497,3.295836866004329,50,31.0,-4,163,-92,0.0,0.0,0.0,10160,10195,10127,28,2.9444389791664403,80,11,63,-21,3.1780538303479458,51,4.653960350157523,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
