province,city,city_code,level,index,pollutions,aqi,so2_24h,no2_24h,co_24h,o3_24h,o3_8h_24h,pm2_5_24h,pm10_24h,pubtime
北京市,北京市,110000,,,,198,9,53,2.027,42,61,154,160,2013/7/1 0:00
北京市,北京市,110000,,,,33,4,26,0.418,121,111,14,34,2013/7/2 0:00
北京市,北京市,110000,,,,53,7,44,0.609,158,130,29,61,2013/7/3 0:00
北京市,北京市,110000,,,,50,6,39,0.525,182,138,23,56,2013/7/4 0:00
北京市,北京市,110000,,,,45,6,33,0.487,181,154,20,41,2013/7/5 0:00
北京市,北京市,110000,,,,90,12,35,0.9,238,229,51,90,2013/7/6 0:00
北京市,北京市,110000,,,,123,8,25,0.951,232,213,93,109,2013/7/7 0:00
北京市,北京市,110000,,,,111,5,34,0.967,142,165,88,72,2013/7/8 0:00
北京市,北京市,110000,,,,101,5,40,0.972,68,60,79,51,2013/7/9 0:00
北京市,北京市,110000,,,,42,5,37,0.741,46,37,30,33,2013/7/10 0:00
北京市,北京市,110000,,,,53,5,36,0.729,83,83,38,43,2013/7/11 0:00
北京市,北京市,110000,,,,102,5,26,0.925,235,190,75,88,2013/7/12 0:00
北京市,北京市,110000,,,,160,6,26,1.25,201,189,126,104,2013/7/13 0:00
北京市,北京市,110000,,,,136,12,27,1.046,198,160,102,105,2013/7/14 0:00
北京市,北京市,110000,,,,63,3,33,1.181,50,87,46,47,2013/7/15 0:00
北京市,北京市,110000,,,,38,4,27,0.541,94,90,20,36,2013/7/16 0:00
北京市,北京市,110000,,,,72,9,37,0.71,214,187,41,74,2013/7/17 0:00
北京市,北京市,110000,,,,190,12,32,1.608,120,142,147,179,2013/7/18 0:00
北京市,北京市,110000,,,,179,7,39,1.139,201,179,138,139,2013/7/19 0:00
北京市,北京市,110000,,,,111,5,37,0.846,190,174,77,101,2013/7/20 0:00
北京市,北京市,110000,,,,101,7,39,0.96,178,161,75,101,2013/7/21 0:00
北京市,北京市,110000,,,,121,13,44,1.258,175,174,91,116,2013/7/22 0:00
北京市,北京市,110000,,,,75,6,29,0.694,178,167,49,75,2013/7/23 0:00
北京市,北京市,110000,,,,57,6,41,0.561,134,122,35,66,2013/7/24 0:00
北京市,北京市,110000,,,,64,10,39,0.804,261,209,29,74,2013/7/25 0:00
北京市,北京市,110000,,,,73,20,54,1.619,54,138,49,79,2013/7/26 0:00
北京市,北京市,110000,,,,148,6,55,1.607,48,35,112,122,2013/7/27 0:00
北京市,北京市,110000,,,,85,6,38,1.058,190,166,55,75,2013/7/28 0:00
北京市,北京市,110000,,,,88,5,64,0.93,175,118,62,102,2013/7/29 0:00
北京市,北京市,110000,,,,140,6,43,1.028,268,233,104,138,2013/7/30 0:00
北京市,北京市,110000,,,,65,5,30,0.629,245,218,42,63,2013/7/31 0:00
