province,city,city_code,level,index,pollutions,aqi,so2_24h,no2_24h,co_24h,o3_24h,o3_8h_24h,pm2_5_24h,pm10_24h,pubtime
北京市,北京市,110000,,,,112,34,38,1.241,67,67,30,32,2013/2/1 0:00
北京市,北京市,110000,,,,38,43,63,1.285,67,67,41,47,2013/2/2 0:00
北京市,北京市,110000,,,,134,70,81,3.287,46,49,160,142,2013/2/3 0:00
北京市,北京市,110000,,,,152,32,43,0.979,66,66,40,38,2013/2/4 0:00
北京市,北京市,110000,,,,69,34,55,1.484,66,66,83,83,2013/2/5 0:00
北京市,北京市,110000,,,,136,20,36,1.507,78,77,61,55,2013/2/6 0:00
北京市,北京市,110000,,,,40,13,22,0.584,79,79,10,22,2013/2/7 0:00
北京市,北京市,110000,,,,34,42,49,1.244,71,72,49,56,2013/2/8 0:00
北京市,北京市,110000,,,,139,82,74,2.253,62,61,155,151,2013/2/9 0:00
北京市,北京市,110000,,,,170,35,33,0.717,75,75,65,73,2013/2/10 0:00
北京市,北京市,110000,,,,57,42,42,1.295,75,75,60,64,2013/2/11 0:00
北京市,北京市,110000,,,,123,44,52,1.927,82,82,113,143,2013/2/12 0:00
北京市,北京市,110000,,,,222,57,80,3.409,82,82,254,273,2013/2/13 0:00
北京市,北京市,110000,,,,221,33,43,1.053,68,67,70,83,2013/2/14 0:00
北京市,北京市,110000,,,,61,31,37,0.937,78,78,35,48,2013/2/15 0:00
北京市,北京市,110000,,,,94,72,64,2.291,78,78,109,116,2013/2/16 0:00
北京市,北京市,110000,,,,182,41,47,1.658,76,76,98,119,2013/2/17 0:00
北京市,北京市,110000,,,,50,22,36,0.662,79,77,19,29,2013/2/18 0:00
北京市,北京市,110000,,,,32,24,38,0.826,70,70,26,38,2013/2/19 0:00
北京市,北京市,110000,,,,76,41,62,1.874,74,74,69,81,2013/2/20 0:00
北京市,北京市,110000,,,,131,56,81,2.97,73,73,161,170,2013/2/21 0:00
北京市,北京市,110000,,,,182,23,51,1.266,83,83,58,65,2013/2/22 0:00
北京市,北京市,110000,,,,74,54,87,2.08,83,83,99,110,2013/2/23 0:00
北京市,北京市,110000,,,,214,139,110,4.793,73,73,242,261,2013/2/24 0:00
北京市,北京市,110000,,,,272,87,78,3.35,17,17,145,160,2013/2/25 0:00
北京市,北京市,110000,,,,177,68,89,3.171,83,83,184,203,2013/2/26 0:00
北京市,北京市,110000,,,,266,48,93,3.052,88,86,190,205,2013/2/27 0:00
北京市,北京市,110000,,,,290,32,60,2.154,89,88,216,357,2013/2/28 0:00
