province,city,city_code,level,index,pollutions,aqi,so2_24h,no2_24h,co_24h,o3_24h,o3_8h_24h,pm2_5_24h,pm10_24h,pubtime
北京市,北京市,110000,,,,102,12,46,0.676,141,134,70,106,2013/6/1 0:00
北京市,北京市,110000,,,,206,38,54,1.929,143,122,163,200,2013/6/2 0:00
北京市,北京市,110000,,,,174,20,56,1.452,264,223,130,155,2013/6/3 0:00
北京市,北京市,110000,,,,164,27,56,1.832,124,128,126,151,2013/6/4 0:00
北京市,北京市,110000,,,,162,7,43,1.66,48,51,132,120,2013/6/5 0:00
北京市,北京市,110000,,,,170,10,53,2.15,20,16,134,130,2013/6/6 0:00
北京市,北京市,110000,,,,163,10,55,2.265,6,4,128,128,2013/6/7 0:00
北京市,北京市,110000,,,,198,9,57,2.533,6,5,161,174,2013/6/8 0:00
北京市,北京市,110000,,,,60,5,46,0.993,41,39,43,48,2013/6/9 0:00
北京市,北京市,110000,,,,37,5,45,0.6,106,97,23,33,2013/6/10 0:00
北京市,北京市,110000,,,,74,6,48,0.587,171,135,52,75,2013/6/11 0:00
北京市,北京市,110000,,,,80,14,32,0.824,210,193,59,74,2013/6/12 0:00
北京市,北京市,110000,,,,134,31,47,1.278,251,220,101,137,2013/6/13 0:00
北京市,北京市,110000,,,,142,28,52,1.163,268,251,111,163,2013/6/14 0:00
北京市,北京市,110000,,,,159,35,65,1.587,276,238,126,177,2013/6/15 0:00
北京市,北京市,110000,,,,209,21,67,2.001,114,190,168,189,2013/6/16 0:00
北京市,北京市,110000,,,,61,6,40,0.898,178,151,37,58,2013/6/17 0:00
北京市,北京市,110000,,,,70,8,64,0.778,166,153,47,76,2013/6/18 0:00
北京市,北京市,110000,,,,78,10,40,0.95,209,170,47,77,2013/6/19 0:00
北京市,北京市,110000,,,,89,17,61,1.306,129,127,62,107,2013/6/20 0:00
北京市,北京市,110000,,,,75,9,44,0.938,155,133,50,83,2013/6/21 0:00
北京市,北京市,110000,,,,70,4,39,0.761,82,81,50,64,2013/6/22 0:00
北京市,北京市,110000,,,,83,6,33,0.964,232,198,53,56,2013/6/23 0:00
北京市,北京市,110000,,,,135,7,32,1.289,204,193,101,133,2013/6/24 0:00
北京市,北京市,110000,,,,154,6,40,2.098,69,117,117,99,2013/6/25 0:00
北京市,北京市,110000,,,,191,5,38,1.679,252,206,148,139,2013/6/26 0:00
北京市,北京市,110000,,,,127,9,46,0.977,237,202,89,96,2013/6/27 0:00
北京市,北京市,110000,,,,326,15,51,2.357,117,115,293,289,2013/6/28 0:00
北京市,北京市,110000,,,,138,6,48,1.638,85,87,104,121,2013/6/29 0:00
北京市,北京市,110000,,,,252,10,53,2.356,126,99,203,223,2013/6/30 0:00
