,pm,lasso,xgb,svc,mlp
0,4.174387269895637,3.9727885358347397,3.7764437060288523,3.3513789348814043,3.868458787276509
1,4.418840607796598,4.318600721121958,4.434850686823511,3.994211456230107,4.490910420564774
2,3.6888794541139363,3.921200110495296,3.766936990216891,3.338789262923281,3.8932662287184514
3,4.859812404361672,4.640428556773141,4.749199385804235,4.440413394170551,4.925761141837869
4,5.488937726156687,5.080235883260448,5.244276529919103,4.570629006509556,5.311134401163322
5,5.159055299214529,5.162264394462232,5.29906270943854,4.985105152744633,5.009654888351319
6,2.4849066497880004,2.6593406060892972,2.5056371798314414,2.2141888738239732,2.0428805580829668
7,3.091042453358316,2.694183993919566,2.7268726940735624,2.4656143298364936,2.582613405491048
8,2.995732273553991,2.5090477875650934,2.5656600323953724,2.150096001184086,2.402962872122442
9,2.833213344056216,2.9092620289123046,2.793039058577931,2.6291169190288994,2.9786140365720772
10,3.8918202981106265,3.5826133303025895,3.582499470950485,3.2897672384599956,3.2416570691210005
11,3.713572066704308,3.984398004300814,4.04809001427723,3.478894751802672,3.7405766330617247
12,3.8501476017100584,3.771338349247804,4.002630204615083,3.4582652082042054,3.7153190502668836
13,4.634728988229636,4.4945909352395965,4.397014142532049,4.09520906509978,4.244922683420276
14,4.0943445622221,4.0608484752600935,3.9228494263107256,3.3705386067723015,3.920622621820283
15,3.4011973816621555,2.875971043891587,2.7194530650228677,2.2822839562461934,2.6594348478992167
16,3.828641396489095,3.875476757590392,3.9268066800538883,3.3702833360839484,3.7361369076212254
17,3.4339872044851463,3.211649827381971,2.99328950742504,2.8357184087585665,3.0333432625967767
18,4.127134385045092,3.739337319124388,3.9051304094858827,3.467499784564873,3.4408623347218086
19,4.912654885736053,4.82199436297,4.86221508145843,4.454327572094528,4.737580693618648
20,4.844187086458591,4.872463210489029,4.845925796866013,4.333787865781272,4.786827073302939
21,5.393627546352362,4.998970085444933,5.267163249499493,4.760046194942199,5.218092916252461
22,5.135798437050262,5.393598695525824,5.271378074270704,5.230981160055825,5.1281598120557295
23,2.3978952727983707,2.833632127081688,2.65110632974787,2.5200934466301574,2.6993549181401213
24,2.833213344056216,2.8527687277139635,2.896885918731232,2.897919423644915,2.4227958823993223
25,2.4849066497880004,3.0498422852626677,2.6067457259458773,3.0311497513645667,2.889060884992661
26,4.07753744390572,3.6899097533005127,3.5934989765049163,3.2801998018934055,3.256678635023564
27,3.784189633918261,3.9379132623927697,4.000804880912036,3.5114610322793087,3.6017095598779303
28,3.9318256327243257,3.597270060494671,3.6225419321179646,3.4809412063576706,3.44489393673724
29,3.828641396489095,3.482460751824223,3.7309646580175215,3.1345481927922223,3.4337232716384447
30,4.718498871295094,4.142127248632449,4.348824046366914,4.238580562874616,4.359434920090839
31,3.871201010907891,3.85202929789168,3.947389103537069,3.7335173457402098,3.8786971945529882
32,4.74493212836325,4.145383747996791,4.333564752376083,4.18867689631304,3.972935875878014
33,4.5217885770490405,4.528483822184469,4.562107568470994,4.57473270645345,4.791872267663647
34,4.9344739331306915,4.617685498089904,4.839649693535214,4.8621524214419996,4.836670168874508
35,4.718498871295094,4.5708222279664525,4.531477014267383,4.292987855512352,4.47596888763753
36,2.772588722239781,3.049373177382403,2.9154731935076783,2.830033731239975,2.9664235918858024
37,3.332204510175204,2.988721062498387,3.090280784467045,3.15988391713879,2.921776621285174
38,4.1588830833596715,3.9042853914215723,3.9186217454678047,3.7458209984652076,3.438605289754287
39,4.672828834461906,4.528151683775912,4.469386066052901,4.318997793330487,4.358462445682067
40,3.332204510175204,3.1566621882707944,2.820984805037485,3.042645511356347,2.791073184703481
41,4.418840607796598,4.303263603266016,4.448392870280751,4.32804174339129,4.4828433968251655
42,4.418840607796598,4.658410636115058,4.554422846569606,4.428010851462821,4.46505303757464
43,4.564348191467836,4.579691470708392,4.512863608526408,4.616597721075327,4.273134052264277
44,5.111987788356544,5.360656965526559,5.3432259458835505,5.430585022922286,5.111102050711326
45,4.31748811353631,3.9597926943263317,3.9719388656774677,3.8207797447077265,4.167382068998199
46,4.7535901911063645,4.843716226388956,4.882311787286384,4.832349065493027,5.048235487554925
