,pm,day,aqi-bj-1,pm2.5-bj-1,pm10-bj-1,co-bj-1,no2-bj-1,so2-bj-1,o3-bj-1,aqi-lf-1,pm2.5-lf-1,pm10-lf-1,co-lf-1,no2-lf-1,so2-lf-1,o3-lf-1,aqi-ts-1,pm2.5-ts-1,pm10-ts-1,co-ts-1,no2-ts-1,so2-ts-1,o3-ts-1,aqi-tj-1,pm2.5-tj-1,pm10-tj-1,co-tj-1,no2-tj-1,so2-tj-1,o3-tj-1,aqi-zjk-1,pm2.5-zjk-1,pm10-zjk-1,co-zjk-1,no2-zjk-1,so2-zjk-1,o3-zjk-1,aqi-cd-1,pm2.5-cd-1,pm10-cd-1,co-cd-1,no2-cd-1,so2-cd-1,o3-cd-1,EVP,GST-mean,GST-max,GST-min,PRE-208,PRE-820,PRE-2020,PRS-mean,PRS-max,PRS-min,RHU-mean,RHU-min,SSD,TEM-mean,TEM-max,TEM-min,WIN-mean,WIN-max,WD-max,WIN-ext,WD-ext,OvallGrd-bj-1,pm25Scr-bj-1,pm25Grd-bj-1,pm10Scr-bj-1,pm10Grd-bj-1,no2Scr-bj-1,no2Grd-bj-1,pollute-bj-1,OvallGrd-lf-1,pm25Scr-lf-1,pm25Grd-lf-1,pm10Scr-lf-1,pm10Grd-lf-1,pollute-lf-1,WD-max-sin,WD-max-cos,WD-max-sint,WD-ext-sin,WD-ext-cos,WD-ext-sint,WIN-max-sin,WIN-max-cos,WIN-ext-sin,WIN-ext-cos,WIN-ext-sint,pm2.5-bj-1-s2,pm2.5-bj-1-s3,pm2.5-bj-1-sq,no2-bj-1-s2,no2-bj-1-s3,no2-bj-1-sq,pm2.5-lf-1-s2,pm2.5-lf-1-s3,pm2.5-lf-1-sq,aqi-bj-1-s2,aqi-bj-1-s3,aqi-bj-1-sq,no2-cd-1-s2,no2-cd-1-s3,no2-cd-1-sq,pm10-bj-1-s2,pm10-bj-1-s3,pm10-bj-1-sq,aqi-lf-1-s2,aqi-lf-1-s3,aqi-lf-1-sq,no2-zjk-1-s2,no2-zjk-1-s3,no2-zjk-1-sq,co-bj-1-s2,co-bj-1-s3,co-bj-1-sq,co-cd-1-s2,co-cd-1-s3,co-cd-1-sq,co-lf-1-s2,co-lf-1-s3,co-lf-1-sq,pm10-lf-1-s2,pm10-lf-1-s3,pm10-lf-1-sq,pollute-bj-1-s2,pollute-bj-1-s3,pollute-bj-1-sq,pollute-lf-1-s2,pollute-lf-1-s3,pollute-lf-1-sq,year_2013,year_2014,year_2015,year_2016,year_2017,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,class-pm_1,class-pm_2,class-pm_3,class-pm_4,class-pm_5,class-pm_6,class-bj-1_1,class-bj-1_2,class-bj-1_3,class-bj-1_4,class-bj-1_5,class-bj-1_6,class-lf-1_1,class-lf-1_2,class-lf-1_3,class-lf-1_4,class-lf-1_5,class-lf-1_6,class-ts-1_1,class-ts-1_2,class-ts-1_3,class-ts-1_4,class-ts-1_5,class-ts-1_6,class-tj-1_1,class-tj-1_2,class-tj-1_3,class-tj-1_4,class-tj-1_5,class-tj-1_6,class-zjk-1_1,class-zjk-1_2,class-zjk-1_3,class-zjk-1_4,class-zjk-1_5,class-zjk-1_6,class-cd-1_1,class-cd-1_2,class-cd-1_3,class-cd-1_4,class-cd-1_5,class-cd-1_6,SimpClass-cd-1_1,SimpClass-cd-1_2,SimpClass-cd-1_3,SimpClass-cd-1_4,SimpClass-lf-1_1,SimpClass-lf-1_2,SimpClass-lf-1_3,SimpClass-lf-1_4,SimpClass-lf-1_5,SimpClass-tj-1_1,SimpClass-tj-1_2,SimpClass-tj-1_3,SimpClass-tj-1_4,SimpClass-ts-1_1,SimpClass-ts-1_2,SimpClass-ts-1_3,SimpClass-ts-1_4,SimpClass-zjk-1_1,SimpClass-zjk-1_2,SimpClass-zjk-1_3
0,4.174387269895637,2,4.962844630259907,4.700480365792417,4.9344739331306915,1.2809338454620642,4.48863636973214,4.127134385045092,11,5.545177444479562,5.327876168789581,5.648974238161206,1.410986973710262,4.948759890378168,5.0369526024136295,12,5.902633333401366,5.755742213586912,5.988961416889864,1.7047480922384253,4.762173934797756,5.056245805348308,13,5.739792912179234,5.564520407322694,6.042632833682381,1.5040773967762742,4.941642422609304,5.308267697401205,13,4.74493212836325,4.394449154672439,5.187385805840755,1.0647107369924282,4.31748811353631,4.836281906951478,3.5553480614894135,4.672828834461906,4.219507705176107,5.099866427824199,1.1939224684724346,4.04305126783455,4.5217885770490405,15,15.0,-11,220,-83,0.0,0.0,0.0,10151,10172,10129,47,2.995732273553991,79,29,115,-35,2.3978952727983707,22,4,3.58351893845611,2,6.056784013228625,9.647239545573877,5.793013608384144,9.883131772279054,6.028278520230698,9.433243894485784,5.579729825986222,4.165610404109098,7.151485463904735,10.864292653716927,6.933423025730715,11.186724299838614,7.255591274253665,4.211178999953555,0.9238795325112867,0.32402612725132407,0.5840872417395802,0.3826834323650898,0.6543437372433648,0.6888604362734987,17.453773486407172,8.419035512031977,13.393920132778142,32.335783637895034,34.70057014808336,9.382779928915687,14.074044418870614,10.44030650891055,8.954802752850968,13.432011910845263,9.38083151964686,10.646043753353617,15.969030053490144,2.72901692595138,9.911703707307469,14.867481522052557,11.916375287812984,8.051022208190679,12.076060766431219,7.483314773547883,9.854559878912704,14.78176143597862,11.74734012447073,11.082542468899101,16.623790695783907,2.831371615153731,8.608312784783722,12.912197747380377,2.262005284461337,2.0489823341951277,2.921870424955536,0.960289071534158,1.838961070712349,2.5777136993742067,0.9228988853785496,2.361796952625892,3.4272224394863056,1.0154776369738763,11.290906281317728,16.93634073705024,2.8804675304065164,8.300185433562186,12.449909315996026,7.964420882901657,8.392704695929776,12.588720644980773,2.213844386533642,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
1,4.418840607796598,3,4.465908118654584,4.174387269895637,4.465908118654584,0.9555114450274363,4.007333185232471,3.6635616461296463,45,5.0369526024136295,4.770684624465665,5.187385805840755,1.0296194171811581,4.532599493153256,4.465908118654584,35,5.662960480135946,5.472270673671475,5.771441123130016,1.62924053973028,4.584967478670572,5.176149732573829,20,5.420534999272286,5.170483995038151,5.605802066295998,1.4350845252893227,4.718498871295094,4.969813299576001,31,4.430816798843313,3.828641396489095,4.770684624465665,0.7419373447293773,3.871201010907891,4.477336814478207,3.970291913552122,4.6443908991413725,4.30406509320417,5.056245805348308,1.0296194171811581,3.9889840465642745,4.174387269895637,17,27.0,27,240,-70,0.0,0.0,0.0,10177,10200,10153,42,2.833213344056216,82,50,147,-10,2.70805020110221,43,1,4.189654742026425,1,5.153291594497779,8.61341204915678,4.859812404361672,8.908829791587868,5.153291594497779,8.443546651247939,4.6913478822291435,3.753308594269626,6.418364935936212,9.792667717430884,6.150602768446279,10.212258189817774,6.569481420414296,3.7154240093360484,0.0,0.6931471805599453,0.6238107163648714,0.0,0.6931471805599453,0.6238107163648714,37.23909236273086,43.0,0.0,65.0,56.291651245988504,8.318010277546872,12.476653064769005,8.0,7.978310969867722,11.966958490330587,7.3484692283495345,9.524420918282495,14.28652242876363,2.4695098776853435,8.908829791587868,13.3630434609479,9.273618495495704,7.940939762327791,11.910882457588071,7.280109889280518,8.908829791587868,13.3630434609479,9.273618495495704,10.060918560484957,15.091314043383885,2.592962296080249,7.700747794511798,11.55045243686095,2.061233603741554,1.2697605448639393,1.6284559182698624,0.8175354928516673,1.4445632692438664,1.921617456486269,0.850851874462102,1.4445632692438664,1.921617456486269,0.850851874462102,10.363598661757617,15.545350828189001,2.6631688719624,7.459754847870503,11.18878215563546,6.4546107551114185,7.382177740790948,11.072348490345231,1.9920520200175478,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
2,3.6888794541139363,4,4.700480365792417,4.418840607796598,4.624972813284271,1.0986122886681098,4.143134726391533,3.7612001156935624,23,5.442417710521793,5.198497031265826,5.5093883366279774,1.3862943611198906,4.634728988229636,4.718498871295094,18,5.488937726156687,5.2574953720277815,5.697093486505405,1.4816045409242156,4.634728988229636,5.1647859739235145,15,5.62040086571715,5.420534999272286,5.8888779583328805,1.589235205116581,4.859812404361672,5.288267030694535,12,4.553876891600541,3.9318256327243257,4.9344739331306915,0.7884573603642702,3.9889840465642745,4.787491742782046,3.7376696182833684,4.584967478670572,4.127134385045092,4.983606621708336,1.0647107369924282,3.970291913552122,4.204692619390966,9,17.0,7,206,-73,0.0,0.0,0.0,10159,10179,10140,47,3.044522437723423,78,47,134,-16,2.4849066497880004,21,4,3.4965075614664802,4,5.793013608384144,9.098179005087852,5.5093883366279774,9.306559229716726,5.717027701406222,8.818630229100354,5.231108616854587,3.8830060563576536,7.048386408721883,10.63106031411106,6.803505257608338,10.943428518789158,7.115582126184454,3.8383764652598473,0.9238795325112867,0.32402612725132407,0.5840872417395802,0.9238795325112867,0.32402612725132407,0.5840872417395802,16.66042014611594,8.036352079666887,29.564145040361176,12.245869835682875,25.387306889319525,8.81358720447004,13.220159555461839,9.055385138137417,8.254528881939745,12.381407351024562,7.874007874011811,10.385944565501662,15.57887072413838,2.6683669929878664,9.382779928915687,14.074044418870614,10.44030650891055,7.902857191280582,11.853738267689861,7.211102550927978,9.230339058482873,13.845362521113456,10.04987562112089,10.876177521259402,16.314238008959112,2.7828948615741615,7.940939762327791,11.910882457588071,2.113856239961337,1.6094379124341003,2.1972245773362196,0.881373587019543,1.528227857008557,2.061659371884038,0.866430042484809,2.302585092994046,3.332204510175204,1.005052538742381,11.010679596283687,16.515994674970077,2.8144733804144466,7.724846433140473,11.586616220964963,6.897100840208153,7.633709620924437,11.449849113008778,2.046616330749324,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
3,4.859812404361672,5,4.04305126783455,3.6888794541139363,4.04305126783455,0.7884573603642702,3.6635616461296463,3.4339872044851463,52,4.6913478822291435,4.406719247264253,4.882801922586371,0.9555114450274363,4.143134726391533,4.31748811353631,35,4.605170185988092,4.2626798770413155,5.003946305945459,1.2237754316221157,4.007333185232471,4.795790545596741,31,4.844187086458591,4.574710978503383,5.214935757608986,1.1939224684724346,4.2626798770413155,4.624972813284271,26,4.127134385045092,3.4657359027997265,4.290459441148391,0.5306282510621704,3.4657359027997265,4.442651256490317,4.04305126783455,4.477336814478207,3.9318256327243257,4.8283137373023015,0.832909122935104,3.7376696182833684,3.9512437185814275,34,41.0,39,219,-52,0.0,0.0,0.0,10197,10231,10152,32,2.833213344056216,82,64,109,34,3.295836866004329,53,2,4.406719247264253,1,4.727387818712341,7.68937110752969,4.3694478524670215,8.051022208190679,4.727387818712341,7.663407664893479,4.343805421853684,3.4198228457853204,5.783825182329737,9.076694687106265,5.497168225293202,9.557399229195953,5.976350909297934,3.258173458139977,0.3826834323650898,0.6543437372433648,0.6888604362734987,0.0,0.6931471805599453,0.6238107163648714,52.54657765281195,48.9656152230982,0.0,81.0,70.14805770653952,7.3277805384216315,10.990701796251868,6.244997998398398,7.275864600546533,10.912776703244036,6.164414002968976,8.789050713521046,13.183349345691969,2.302585092994046,8.051022208190679,12.076060766431219,7.483314773547883,7.427738840532894,11.140730709373459,6.4031242374328485,8.051022208190679,12.076060766431219,7.483314773547883,9.36434818445553,14.046394475204584,2.432938113915983,6.8690144506657065,10.301995180076794,1.882173494958135,0.8919980393051105,1.0035687399812157,0.7397659962052513,0.9895411936137478,1.1622128700777044,0.7608878000194387,1.2697605448639393,1.6284559182698624,0.8175354928516673,9.750452916367067,14.625592414425206,2.52136097127672,6.774258281194677,10.159710913970457,5.437278731130123,6.43951010914002,9.656931447600641,1.7917928013392272,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
4,5.488937726156687,6,5.135798437050262,4.859812404361672,5.093750200806762,1.252762968495368,4.3694478524670215,3.8918202981106265,15,5.337538079701318,5.062595033026967,5.384495062789089,1.1631508098056809,4.454347296253507,4.532599493153256,16,4.948759890378168,4.68213122712422,5.14166355650266,1.1631508098056809,4.2626798770413155,4.859812404361672,16,4.762173934797756,4.48863636973214,5.075173815233827,0.9555114450274363,4.2626798770413155,4.74493212836325,16,4.442651256490317,3.9889840465642745,4.787491742782046,0.7419373447293773,3.8066624897703196,4.543294782270004,3.713572066704308,4.553876891600541,3.784189633918261,4.941642422609304,0.9932517730102833,3.912023005428146,4.060443010546419,17,22.0,-3,177,-73,0.0,0.0,0.0,10160,10193,10135,50,3.332204510175204,68,31,99,-17,2.4849066497880004,34,11,3.9512437185814275,11,6.517671272912275,9.981975205584869,6.240275845170769,10.217531575165962,6.47543271670409,9.48668339975797,5.746203190540153,4.212275735053779,6.943122422819428,10.388995368317829,6.666956792429207,10.71263840885238,6.990256500493881,4.26696645118873,0.7071067811865475,0.5347999967395705,0.6759632927777782,0.7071067811865475,0.5347999967395705,0.6759632927777782,32.84147809382833,24.04163056034262,36.062445840513924,36.06244584051393,49.26221714074249,9.704121561132915,14.556091268595896,11.313708498984761,8.713582005421628,13.070128587317184,8.831760866327848,10.112532179470836,15.168737674449968,2.6049067877920096,10.259832442012879,15.38969635194541,13.0,7.784057002639929,11.675469394155508,7.0,10.1752307736864,15.262789240906677,12.727922061357855,10.665460924025925,15.99815649253894,2.7335551386226564,7.5688956634069955,11.352580640979642,2.032513649872608,1.9810014688665833,2.810907586541918,0.9482307085514864,1.3584091576303547,1.7771533168386928,0.8345775047772536,1.7647307968401358,2.4551344914543303,0.9095640372752173,10.7598159432376,16.139692158484888,2.7556281935966527,8.39493066028407,12.592060335789233,8.155366331440911,8.505888134385806,12.758531637796668,2.239092178630057,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
5,5.159055299214529,7,5.676753802268282,5.488937726156687,5.655991810819852,1.6486586255873816,4.59511985013459,4.174387269895637,6,6.059123195581797,5.968707559985366,6.175867270105761,1.8870696490323797,4.976733742420574,4.59511985013459,9,5.638354669333745,5.442417710521793,5.762051382780177,1.791759469228055,4.394449154672439,5.605802066295998,8,5.69035945432406,5.5053315359323625,5.993961427306569,1.410986973710262,4.68213122712422,4.955827057601261,11,4.61512051684126,4.204692619390966,5.0106352940962555,0.832909122935104,4.02535169073515,4.912654885736052,3.58351893845611,4.727387818712341,4.110873864173311,5.1647859739235145,1.0986122886681098,4.007333185232471,4.204692619390966,11,7.0,-15,108,-75,0.0,0.0,0.0,10161,10178,10145,74,4.060443010546419,41,15,62,-20,2.70805020110221,27,5,3.7376696182833684,3,7.283448228756631,11.15813445959002,7.095064377287131,11.325824505002949,7.262628600974241,10.258325810799903,6.19644412779452,4.694681768191562,7.848933726364071,12.022936757258325,7.75833346749091,12.23057499611944,7.9658927350845286,4.714221880854271,1.0,6.123233995736766e-17,0.40546510810816466,0.7071067811865476,0.5347999967395705,0.6759632927777782,13.500000000000012,1.6532731788489269e-15,28.99137802864845,28.99137802864845,39.602958877851805,10.969611084167505,16.454390871913184,15.524174696260024,9.170039075202657,13.75490349849362,9.899494936611665,11.932300052847731,17.89844023422908,3.0324699863295153,11.346658343297715,17.019969842095318,17.05872210923198,7.978310969867722,11.966958490330587,7.3484692283495345,11.30499067194197,16.957467584004128,16.881943016134134,12.11357351103325,18.170352052530347,3.075650895980279,8.014996894348302,12.022005566197757,2.1301582402105503,2.925309809257445,4.318660759052062,1.1149416208535583,1.6094379124341003,2.1972245773362196,0.881373587019543,3.4769230921902907,5.173977884292407,1.2138534040073028,12.347576548072231,18.521358320748057,3.1315255817516743,9.371077016306913,14.056488577437186,10.40980307210468,9.410511054780109,14.115644529210197,2.4434720025320975,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
6,2.4849066497880004,8,5.4116460518550396,5.159055299214529,5.247024072160486,1.3609765531356006,4.110873864173311,3.871201010907891,41,5.82600010738045,5.666426688112432,6.0112671744041615,1.4350845252893227,4.553876891600541,4.007333185232471,11,5.831882477283517,5.673323267171493,6.003887067106539,1.916922612182061,4.343805421853684,5.480638923341991,6,5.517452896464707,5.293304824724492,5.799092654460526,1.6094379124341003,4.477336814478207,4.499809670330265,9,4.219507705176107,3.4011973816621555,4.430816798843313,0.4700036292457356,3.044522437723423,4.382026634673881,4.07753744390572,4.804021044733257,4.394449154672439,5.2574953720277815,1.1314021114911006,3.8918202981106265,4.060443010546419,19,26.0,32,175,-38,0.0,0.0,0.0,10167,10194,10142,66,3.044522437723423,11,46,102,11,3.1780538303479458,70,15,4.919980925828125,15,7.017506142941256,10.56048928645972,6.763884908562435,10.648942512719419,6.852242569051878,9.50159106930499,5.707110264748875,4.370561156564603,7.615298339825815,11.486016648413012,7.455298485683291,11.831866350137231,7.8009820712577405,4.2670225466632425,0.7071067811865477,0.5347999967395702,0.23017401566350837,0.7071067811865477,0.5347999967395702,0.23017401566350837,18.117333157176407,49.497474683058314,96.16652224137049,96.16652224137044,35.199390133942735,10.306616600846745,15.459874976628633,13.152946437965905,8.188966863648876,12.283038316285214,7.745966692414834,11.325933016526376,16.988881482270084,2.8887350163027468,10.814363651708785,16.2215154045552,14.933184523068078,7.742835955430749,11.613612074928163,6.928203230275509,10.48352202446443,15.725241193299217,13.74772708486752,11.646100544122644,17.469137712346082,2.964488031765638,5.993961427306569,8.987321812850125,1.6996690255890117,2.2417729535972883,3.2343160093560788,0.9943395650731098,1.6882490928583902,2.3283503008800723,0.8957359930575296,2.4194788444655453,3.5195136084801977,1.0256308957368645,12.017632407728042,18.026439571160367,3.052785395826378,8.715836773599133,13.073511287750245,8.836741480885362,8.506001898049501,12.758702317323234,2.2391175941978023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
7,3.091042453358316,9,3.295836866004329,2.4849066497880004,2.833213344056216,0.4700036292457356,3.1354942159291497,2.3978952727983707,51,4.04305126783455,3.1780538303479458,4.127134385045092,0.4054651081081644,3.5553480614894135,3.258096538021482,33,4.219507705176107,3.5553480614894135,4.442651256490317,0.7419373447293773,3.6109179126442243,4.04305126783455,48,3.7612001156935624,3.2188758248682006,3.7612001156935624,0.6931471805599453,3.58351893845611,3.713572066704308,39,3.713572066704308,2.995732273553991,3.713572066704308,0.4054651081081644,2.9444389791664403,4.382026634673881,4.290459441148391,3.58351893845611,2.9444389791664403,3.58351893845611,0.33647223662121295,2.833213344056216,2.8903717578961645,49,50.0,13,178,-69,0.0,0.0,0.0,10200,10221,10181,29,2.9444389791664403,74,31,65,10,3.6375861597263857,70,16,4.962844630259907,16,3.295836866004329,5.659482215759621,2.4849066497880004,6.0330862217988015,2.833213344056216,6.35088571671474,3.1354942159291497,2.737091069886624,4.727387818712341,7.161622002939187,3.8501476017100584,8.136518252115291,4.812184355372417,2.4686078768184974,0.3826834323650904,0.6543437372433647,0.47546458418188897,0.3826834323650904,0.6543437372433647,0.47546458418188897,42.61330003061043,64.67156727579005,54.341047395842835,131.1908936166027,86.4441229192383,4.804021044733257,7.194436851100335,3.3166247903554,6.184148890937483,9.273221270015384,4.69041575982343,6.272877006546167,9.406564833939129,1.7571389562845319,6.517671272912275,9.774346508212899,5.0990195135927845,5.54907608489522,8.318010277546872,4.0,5.54907608489522,8.318010277546872,4.0,8.051022208190679,12.076060766431219,2.138101266532066,5.783825182329737,8.671286726753637,1.656825319317369,0.3074846997479606,0.19556678354397525,0.5735731685107027,0.14842000511827333,0.062035390919452656,0.4900853426144089,0.22314355131420976,0.11778303565638346,0.5347999967395705,8.222016437202196,12.332625998165328,2.175915779604025,5.345064320975828,8.010753813622669,3.8002631487832526,4.768730479078536,7.141096803050856,1.455645056062201,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
8,2.995732273553991,10,3.828641396489095,3.091042453358316,3.828641396489095,0.6931471805599453,3.4011973816621555,2.70805020110221,52,4.7535901911063645,4.477336814478207,5.147494476813453,0.9555114450274363,4.007333185232471,4.0943445622221,33,4.762173934797756,4.48863636973214,5.093750200806762,1.0986122886681098,4.007333185232471,4.406719247264253,35,4.700480365792417,4.382026634673881,5.123963979403259,1.0986122886681098,4.07753744390572,4.574710978503383,36,4.48863636973214,3.1354942159291497,4.844187086458591,0.33647223662121295,2.8903717578961645,3.9889840465642745,4.276666119016055,4.07753744390572,3.367295829986474,4.204692619390966,0.4700036292457356,3.2188758248682006,3.4339872044851463,49,29.0,-12,147,-88,0.0,0.0,0.0,10158,10188,10124,38,2.8903717578961645,47,8,70,-45,3.5553480614894135,91,14,5.081404364984463,14,3.828641396489095,6.852242569051878,3.091042453358316,7.613818684808629,3.828641396489095,7.174724309836376,3.4011973816621555,3.068052935133617,5.846438775057725,9.21094019204815,5.568344503761097,9.886646535340102,6.2422232654551655,2.671386216730619,0.9238795325112866,0.3240261272513242,0.12268318117165702,0.9238795325112866,0.3240261272513242,0.12268318117165702,11.877883492024795,34.82419234522319,147.82072520180586,61.2293491784144,20.88419075520843,6.091309882077698,9.133675287040697,4.58257569495584,6.7357800142423265,10.101928491209966,5.385164807134504,8.931948346431495,13.397725874558565,2.334798529069281,7.613818684808629,11.419998443187646,6.708203932499369,6.3578422665081,9.534233826390535,4.898979485566356,7.613818684808629,11.419998443187646,6.708203932499369,9.489939868234607,14.234797042605766,2.461621415304021,5.66988092298052,8.499843553081124,1.633760822667154,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.3074846997479606,0.19556678354397525,0.5735731685107027,1.2697605448639393,1.6284559182698624,0.8175354928516673,10.283361310977384,15.42499086949952,2.644520723109121,6.043226481666571,9.06139072662328,4.527692569068709,5.2049491000090535,7.799576965033009,1.5408993517828147,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
9,2.833213344056216,11,3.4339872044851463,2.995732273553991,3.4339872044851463,0.5306282510621704,3.4339872044851463,2.772588722239781,45,4.189654742026425,3.8066624897703196,4.406719247264253,0.7419373447293773,3.9318256327243257,4.007333185232471,35,4.1588830833596715,3.713572066704308,4.330733340286331,0.6931471805599453,3.912023005428146,3.9318256327243257,41,4.2626798770413155,3.6888794541139363,4.5217885770490405,0.8754687373538999,3.9512437185814275,4.3694478524670215,36,4.007333185232471,3.367295829986474,4.0943445622221,0.5877866649021191,3.5553480614894135,4.574710978503383,4.23410650459726,3.828641396489095,3.258096538021482,3.828641396489095,0.4700036292457356,3.1354942159291497,3.295836866004329,50,31.0,-4,163,-92,0.0,0.0,0.0,10160,10195,10127,28,2.9444389791664403,80,11,63,-21,3.1780538303479458,51,15,4.653960350157523,16,3.4339872044851463,6.3473892096560105,2.995732273553991,6.803505257608338,3.4339872044851463,6.803505257608338,3.4339872044851463,2.99892716445051,4.875197323201151,7.95892649305011,4.48863636973214,8.569026340056254,5.093750200806762,2.9940809108047604,0.7071067811865477,0.5347999967395702,0.23017401566350837,0.3826834323650904,0.6543437372433647,0.47546458418188897,13.199771300228527,36.06244584051392,39.7990769659694,96.0834713811738,63.311188616906925,5.8916442118257715,8.83346272071993,4.358898943540674,6.803505257608338,10.203629181337648,5.477225575051661,7.5688956634069955,11.352580640979642,2.032513649872608,6.803505257608338,10.203629181337648,5.477225575051661,6.184148890937483,9.273221270015384,4.69041575982343,6.803505257608338,10.203629181337648,5.477225575051661,8.349011198176003,12.523165451009367,2.2041182886012787,7.053585727193677,10.579107016227857,1.9214640335415316,0.3987761199573677,0.29490591754110046,0.6079487191729779,0.3074846997479606,0.19556678354397525,0.5735731685107027,0.7929925155296615,0.8462973600536202,0.7172585746024391,8.789050713521046,13.183349345691969,2.302585092994046,5.898351216462521,8.84354953940684,4.366234075264403,5.888177128321354,8.828248426424917,1.678051607296528,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
